,ceo,company_rank,Born,Nationality,Education,BoY,ceo_year
135,Hyun-jung Do,180,,,,,2016.0
136,Jes Staley,181,"December 27, 1956 (age 63 years), Boston, MA",United States,Bowdoin College,1956.0,2016.0
137,Frédéric Lavenir,182,"June 11, 1960 (age 59 years)",,HEC Paris,1960.0,2016.0
138,Chuck Robbins,183,"Grayson, GA",United States,"University of North Carolina at Chapel Hill (1983–1987), Rocky Mt High School",,2016.0
139,Heinrich Hiesinger,184,"May 25, 1960 (age 59 years), Bopfingen, Germany",Germany,Technische Universität München,1960.0,2016.0
140,Wesley Mendonça Batista (Wesley Batista),185,"December 8, 1972 (age 47 years), Anápolis, State of Goiás, Brazil",Brazil,,1972.0,2016.0
141,Ian C. Read,186,"1953 (age 67 years), Forfar, United Kingdom",United Kingdom,"Imperial College London (1974), Department of Chemical Engineering, Imperial College London",1953.0,2016.0
142,Andrew N. Liveris,187,"May 5, 1954 (age 65 years), Darwin, Australia","American, Australian","The University of Queensland (1975), Darwin High School, Brisbane State High School",1954.0,2016.0
143,William J. Delaney III,188,,,"Wharton School of the University of Pennsylvania (1982), University of Notre Dame (1977)",,2016.0
144,Wang Wenyin,190,"1968 (age 52 years), Anhui, China",China,"Anhui Qianshan Yezhai Middle School, Nanjing University",1968.0,2016.0
145,Frederick W. Smith,192,"August 11, 1944 (age 75 years), Marks, MS",United States,"Yale University (1962–1966), Memphis University School, Presbyterian Day School",1944.0,2016.0
146,António Horta-Osório,193,"January 28, 1964 (age 56 years), Lisbon, Portugal",Portugal,"INSEAD Europe Campus, Catholic University of Portugal",1964.0,2016.0
147,Jim Umpleby,194,"1958 (age 62 years), Highland, IN",United States,"Rose-Hulman Institute of Technology (1980), Highland High School",1958.0,2016.0
148,Pierre-André de Chalendar,196,"April 12, 1958 (age 62 years), Vichy, France",France,"ESSEC Business School, Établissement La Rochefoucauld : École, collège, et lycée catholique",1958.0,2016.0
149,Marillyn Hewson,197,"1954 (age 66 years), Junction City, KS",United States,"Columbia Business School, The University of Alabama, Harvard Business School",1954.0,2016.0
150,Theodore A. Mathas,198,"1967 (age 53 years), Norfolk, VA",United States,,1967.0,2016.0
151,Herman Gref,199,"February 8, 1964 (age 56 years), Panfilovo, Kazakhstan",Russia,"Saint Petersburg State University (1990–1993), MORE",1964.0,2016.0
152,Yu Yong MD,201,,,,,2016.0
153,Yang Yuanqing,202,"November 12, 1964 (age 55 years), Hefei, China",China,"Shanghai Jiao Tong University, University of Science and Technology of China",1964.0,2016.0
154,Rüdiger Grube,203,"August 2, 1951 (age 68 years), Hamburg, Germany",Germany,University of Hamburg,1951.0,2016.0
155,Stéphane Richard,204,"August 24, 1961 (age 58 years), Gironde, France",France,HEC Paris,1961.0,2016.0
156,Muhtar Kent,206,"December 1, 1952 (age 67 years), New York, NY",United States,"University of Hull, Cass Business School, City, University of London, Tarsus American College",1952.0,2016.0
157,Luiz Carlos Trabuco Cappi,209,"October 6, 1951 (age 68 years), Marília, State of São Paulo, Brazil",Brazil,"Universidade Estadual Paulista em Marília, Fundação Escola de Sociologia e Política de São Paulo",1951.0,2016.0
158,Xavier Huillard,210,"June 27, 1954 (age 65 years), Paris, France",France,"École des ponts ParisTech, École Polytechnique",1954.0,2016.0
159,Carlos Brito,211,"1960 (age 60 years), Rio de Janeiro, State of Rio de Janeiro, Brazil",Brazil,"Stanford Graduate School of Business, Universidade Federal do Rio de Janeiro",1960.0,2016.0
160,R. Milton Johnson,212,"December 15, 1956 (age 63 years), Nashville, TN",United States,"Belmont University, Nashville State Community College",1956.0,2016.0
161,Elmar Degenhart,213,"January 29, 1959 (age 61 years), Dossenheim, Germany",Germany,University of Stuttgart,1959.0,2016.0
162,Soren Schroder,214,"Aarhus, Denmark",Denmark,Connecticut College,,2016.0
163,Alistair Phillips-Davies,216,"1967 (age 53 years), Wiltshire, United Kingdom",United Kingdom,"St Catharine's College""",1967.0,2016.0
164,Alain Monié,218,1951 (age 69 years),,"Arts et Métiers ParisTech, HEC Paris",1951.0,2016.0
165,Carlos Torres Vila,219,"February 24, 1966 (age 54 years), Salamanca, Spain",Spain,"MIT Sloan School of Management, Massachusetts Institute of Technology, UNED",1966.0,2016.0
166,Iain Conn,220,"October 22, 1962 (age 57 years), Edinburgh, United Kingdom",United Kingdom,"Loretto School, Imperial College London, Department of Chemical Engineering, Imperial College London",1962.0,2016.0
167,Dick Boer,222,"August 31, 1957 (age 62 years), Axel, Netherlands",Netherlands,,1957.0,2016.0
168,Guenter Butschek,226,"October 21, 1960 (age 59 years)",,Baden-Württemberg Cooperative State University,1960.0,2016.0
169,Sidney Toledano,228,"July 25, 1951 (age 68 years), Casablanca, Morocco",Morocco,,1951.0,2016.0
170,Dwi Soetjipto,230,"November 10, 1955 (age 64 years), Surabaya, Indonesia",Indonesia,"Sepuluh Nopember Institute of Technology (ITS), University of Indonesia, Andalas University",1955.0,2016.0
171,Arundhati Bhattacharya,232,"March 18, 1956 (age 64 years), Kolkata, India",India,"St. Xavier's School (Bokaro), Jadavpur University, Lady Brabourne College"", 'Children: Sukrita Bhattacharya",1956.0,2016.0
172,Olivier Brandicourt,233,"February 1956 (age 64 years), France",France,Paris Descartes University,1956.0,2016.0
173,Doug Parker,236,1961 (age 59 years),,"Vanderbilt University, Albion College, Owen Graduate School of Management",1961.0,2016.0
174,Kosei Shindo,238,"September 14, 1949 (age 70 years), Akita, Japan",Japan,Harvard Business School,1949.0,2016.0
175,Ed Bastian,239,"June 6, 1957 (age 62 years), Poughkeepsie, NY",United States,"St. Bonaventure University, Our Lady of Lourdes High School",1957.0,2016.0
176,Søren Skou,240,"August 20, 1964 (age 55 years), Denmark",Denmark,"IMD Business School, Copenhagen Business School",1964.0,2016.0
177,Alex Molinaroli,242,"October 7, 1959 (age 60 years), Parkersburg, WV",United States,"Northwestern University, University of South Carolina",1959.0,2016.0
178,Kenneth C. Frazier,246,"December 17, 1954 (age 65 years), Philadelphia, PA",United States,"Harvard Law School (1978), Penn State University (1975), Northeast High School",1954.0,2016.0
179,David H. Long,249,"1961 (age 59 years), Liverpool, United Kingdom",United States,Hartwick College,1961.0,2016.0
180,Josu Jon Imaz,250,"September 6, 1963 (age 56 years), Zumarraga, Spain",Spain,Campus De Bizkaia - Campus of Biscay,1963.0,2016.0
181,Lloyd Blankfein,252,"September 20, 1954 (age 65 years), New York, NY",United States,"Harvard Law School (1978), Harvard College (1975), Harvard University, Thomas Jefferson High School",1954.0,2016.0
182,Alexander Wynaendts,253,,,,,2016.0
183,Kuok Khoon Hong,254,"1951 (age 69 years), Singapore",Singapore,"English College Johore Bahru, NUS Business School, Desautels Faculty of Management",1951.0,2016.0
184,Florentino Pérez,255,"March 8, 1947 (age 73 years), Hortaleza, Madrid, Spain",Spain,,1947.0,2016.0
185,David M. Cote,256,"1952 (age 68 years), Manchester, NH",United States,"University of New Hampshire (1976), Pembroke Academy School",1952.0,2016.0
186,Sergio Ermotti,257,"May 11, 1960 (age 59 years), Lugano, Switzerland",Switzerland,University of Oxford,1960.0,2016.0
187,Roger W. Crandall,258,,,,,2016.0
188,Safra Catz,260,"December 1, 1961 (age 58 years), Holon, Israel",Israel,"Penn Law (1986), MORE",1961.0,2016.0
189,Tsuyoshi Nagano,261,,,,,2016.0
190,James P. Gorman,263,"July 14, 1958 (age 61 years), Melbourne, Australia",Australia,"Columbia Business School, Newman College, University of Melbourne, Columbia University, Xavier College', ""Children: Caroline D'Arcy Gorman, Caroline Gorman"", 'Siblings: Katherine Williams",1958.0,2016.0
191,David Cordani,264,"February 10, 1966 (age 54 years), Waterbury, CT",United States,"Texas A&M University, University of Hartford",1966.0,2016.0
192,Oscar Munoz,265,"January 1959 (age 61 years), California",United States,"La Quinta High School, Marshall Business School, USC, University of Southern California, Pepperdine University",1959.0,2016.0
193,Ian Narev,269,"April 22, 1967 (age 53 years), Auckland, New Zealand",Zealand,"Auckland Grammar School, University of Cambridge, The University of Auckland",1967.0,2016.0
194,Martin Lundstedt,272,"April 28, 1967 (age 52 years), Mariestad, Sweden",Sweden,Chalmers University of Technology,1967.0,2016.0
195,Xu Lejiang,275,,,"Fudan University, Jiangxi University of Science and Technology",,2016.0
196,Andrew Witty,278,"August 22, 1964 (age 55 years), England, United Kingdom",United Kingdom,"Malbank School and Sixth Form College, University of Nottingham",1964.0,2016.0
197,Martin Bouygues,280,"May 3, 1952 (age 67 years), Suresnes, France",France,Janson de Sailly School,1952.0,2016.0
198,Christian Mumenthaler,282,"June 21, 1969 (age 50 years)",,ETH Zürich,1969.0,2016.0
199,Thomas J. Wilson,283,"1958 (age 62 years), St. Clair Shores, MI",United States,"Kellogg School of Management, Northwestern University, University of Michigan, Lake Shore High School",1958.0,2016.0
200,Ulrich Spiesshofer,286,"March 26, 1964 (age 56 years), Aalen, Germany",Germany,University of Stuttgart,1964.0,2016.0
201,Paal Kibsgaard,287,"April 1967 (age 53 years), Alesund, Norway",Norway,Norwegian University of Science and Technology,1967.0,2016.0
202,Mike Coupe,288,"September 26, 1960 (age 59 years), Watford, United Kingdom",United Kingdom,"The Weald School, Billingshurst",1960.0,2016.0
203,Roger W. Ferguson Jr.,291,"October 28, 1951 (age 68 years), Washington, D.C.",,"Sidwell Friends School (1969), Harvard College, Harvard Law School, Harvard University, Pembroke College",1951.0,2016.0
204,Tidjane Thiam,292,"July 29, 1962 (age 57 years), Côte d'Ivoire"", 'Spouse: Annette Thiam","Ivorian, French","INSEAD Europe Campus (1986–1988), MORE', ""Siblings: Abdel Aziz Thiam, Yamousso Thiam, Augustin Thiam, Papa Ababakar Thiam, Daouda Thiam, N'deye Anna Thiam"", 'Nationality: Ivorian, French",1962.0,2016.0
205,Chey Tae-won,294,"December 3, 1960 (age 59 years), Suwon-si, South Korea",South Korea,"The University of Chicago, Korea University",1960.0,2016.0
