id,Revenues_$M,Profits_$M,Assets_$M,Employees,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company,year
41,"127,079","9,625","232,708","177,300",7.6%,4.1%,78.3%,Verizon,2015
42,"124,333",208.3,"2,513,925","179,603",0.2%,-,0.2%,BNP Paribas,2015
43,"122,803","4,746","111,800","110,300",3.9%,4.2%,5.8%,Lukoil,2015
44,"121,221.5","4,633.4","153,663.9","204,730",3.8%,3%,7.8%,Honda Motor,2015
45,"120,946","27,525.1","2,458,314.3","308,128",22.8%,1.1%,15%,Bank of China,2015
46,"119,569.1",276.5,"21,532.2","13,500",0.2%,1.3%,14.1%,AmerisourceBergen,2015
47,"119,238.7","-19,929.4","144,414.6","144,927",-16.7%,-13.8%,-,Pemex,2015
48,"118,871.7","2,215.3","606,555.4","78,333",1.9%,0.4%,7.9%,Assicurazioni Generali,2015
49,"118,232.3","3,571","1,582,782.8","153,836",3%,0.2%,5.3%,Societe Generale,2015
50,"116,461","14,208","3,248,176","7,600",12.2%,0.4%,386.1%,Fannie Mae,2015
51,"113,663.3","9,026.7","145,964.9","249,000",7.9%,6.2%,18.8%,Rosneft Oil,2015
52,"112,640","2,058","33,024","153,500",1.8%,6.2%,16.7%,Costco,2015
53,"111,454","5,013","103,206","302,000",4.5%,4.9%,18.8%,HP,2015
54,"108,465","1,728","30,556","400,000",1.6%,5.7%,31.9%,Kroger,2015
55,"107,529.4","10,451.2","246,748.8","274,347",9.7%,4.2%,7.7%,China Mobile Communications,2015
56,"106,654.3","7,691.2","187,299.5","116,324",7.2%,4.1%,17.1%,BMW,2015
57,"106,248",-506.6,"84,620.3","81,667",-0.5%,-0.6%,-5.5%,SK Holdings,2015
58,"106,198","3,104.1","1,922,657","72,567",2.9%,0.2%,5.1%,Credit Agricole,2015
59,"103,459.6","4,161.7","142,153.8","149,388",4%,2.9%,9.8%,Nissan Motor,2015
60,"102,248.6","4,540.1","66,871.5","92,484",4.4%,6.8%,17.9%,SAIC Motor,2015
61,"102,102","21,762","2,573,126","241,359",21.3%,0.8%,9.4%,JP Morgan Chase,2015
62,"101,580.3","-9,321.1","68,315.8","386,086",-9.2%,-13.6%,-85.3%,Tesco,2015
63,"101,560.3","7,288.3","132,473.2","357,000",7.2%,5.5%,18.6%,Siemens,2015
64,"101,238.1","1,656.8","55,401.1","381,227",1.6%,3%,14.9%,Carrefour,2015
65,"100,913.9","4,711.9","172,649.7","241,600",4.7%,2.7%,6.5%,Nippon Tel. & Tel.,2015
66,"100,887.1","2,007.6","53,798.9","29,500",2%,3.7%,10%,Express Scripts Holding,2015
67,"100,706.2","7,715.1","1,532,118.6","185,405",7.7%,0.5%,7%,Banco Santander,2015
68,"100,618.8","11,322.3","153,787.4","50,949",11.3%,7.4%,11.2%,Petronas,2015
69,"100,539",685.8,"201,614","68,961",0.7%,0.3%,1.8%,Enel,2015
70,"100,115.7","15,797.8","134,336.6","339,000",15.8%,11.8%,22.4%,Nestlé,2015
71,"99,537.9",959.9,"110,473","276,697",1%,0.9%,10%,China Railway Engineering,2015
72,"99,262.2","8,592.6","180,427.8","114,573",8.7%,4.8%,11.6%,China National Offshore Oil,2015
73,"99,073.2","3,236.7","200,006","152,882",3.3%,1.6%,5.4%,GDF Suez,2015
74,"98,976.7","3,647.9","575,622.1","18,604",3.7%,0.6%,19.8%,Prudential plc,2015
75,"98,801.4","3,474.8","131,639.4","22,516",3.5%,2.6%,6.8%,Statoil,2015
76,"98,595.7","6,838.3","86,338.8","113,292",6.9%,7.9%,20.5%,BASF,2015
77,"97,604.6",132,"20,002.4","1,900",0.1%,0.7%,2.6%,Noble Group,2015
78,"96,669.5","4,909.5","324,245.6","148,024",5.1%,1.5%,11.5%,Électricité de France,2015
79,"96,395.2","1,154.2","101,562.8","297,035",1.2%,1.1%,12.6%,China Railway Construction,2015
80,"95,181","4,833","2,104,534","223,715",5.1%,0.2%,2%,Bank of America Corp.,2015
81,"94,431","13,688","2,634,139","264,767",14.5%,0.5%,7.2%,HSBC Holdings,2015
82,"94,128","12,022","117,532","412,775",12.8%,10.2%,101.3%,IBM,2015
83,"91,417","2,524","30,460","45,340",2.8%,8.3%,23.5%,Marathon Petroleum,2015
84,"91,084","1,166","26,033","34,000",1.3%,4.5%,18.2%,Cardinal Health,2015
85,"90,762","5,446","99,198","165,500",6%,5.5%,62.9%,Boeing,2015
86,"90,646","7,313","1,842,530","241,000",8.1%,0.4%,3.5%,Citigroup,2015
87,"89,908.4","15,921.5","1,662,855.3","8,723",17.7%,1%,14.8%,China Development Bank,2015
88,"88,988",-241,"54,505","154,100",-0.3%,-0.4%,-2.2%,Amazon.com,2015
89,"88,786.9","2,194.7","103,372.4","333,150",2.5%,2.1%,9%,Hitachi,2015
90,"88,372","23,057","1,687,155","264,500",26.1%,1.4%,12.5%,Wells Fargo,2015
91,"87,990.1","1,277.4","1,195,046.6","68,431",1.5%,0.1%,2.3%,ING Group,2015
92,"87,779.9","-2,521.3","61,908.1","26,415",-2.9%,-4.1%,-18.6%,JX Holdings,2015
93,"87,299.3","1,718.3","54,094.8","25,986",2%,3.2%,8.1%,PTT,2015
94,"87,249.3","1,687.5","442,745.8","151,719",1.9%,0.4%,11%,China Life Insurance,2015
95,"86,833","22,074","172,384","128,000",25.4%,12.8%,24.6%,Microsoft,2015
96,"86,021.8","6,374.9","645,698.1","235,999",7.4%,1%,13.7%,Ping An Insurance,2015
97,"85,505.2",172.3,"35,372","227,868",0.2%,0.5%,2.7%,Metro,2015
98,"84,805","1,621.5","622,938.9","11,038",1.9%,0.3%,17.3%,Legal & General Group,2015
99,"84,771.7","6,977.7","133,962.8","109,748",8.2%,5.2%,13.3%,Hyundai Motor,2015
100,"84,537","11,643","144,266","118,000",13.8%,8.1%,16.8%,Procter & Gamble,2015
101,"83,176","6,345","39,946","371,000",7.6%,15.9%,68.1%,Home Depot,2015
102,"83,117.7","3,878.8","156,515.4","228,000",4.7%,2.5%,12.6%,Deutsche Telekom,2015
103,"81,685.1","4,182.5","330,283.1","43,316",5.1%,1.3%,11.5%,Munich Re,2015
104,"81,201","2,248","44,027","33,900",2.8%,5.1%,11.5%,Archer Daniels Midland,2015
105,"80,635",562.7,"57,278.2","54,742",0.7%,1%,4.7%,Sinochem,2015
106,"80,537.6","3,108.1","116,275.9","138,622",3.9%,2.7%,36.4%,Airbus Group,2015
107,"80,194.5","4,248.3","52,983.6","135,599",5.3%,8%,18.7%,China FAW Group,2015
108,"79,282","-1,086","99,179","222,327",-1.4%,-1.1%,-2.6%,ArcelorMittal,2015
109,"78,978.6","1,600.4","54,201.4","197,192",2%,3%,15.8%,Dongfeng Motor Group,2015
110,"78,857.2","6,078.9","175,416.3","66,154",7.7%,3.5%,25.6%,SoftBank Group,2015
111,"77,795.7","2,747.2","44,741.7","443,784",3.5%,6.1%,24.2%,Deutsche Post,2015
112,"76,932.4","9,156.6","424,207.1","93,175",11.9%,2.2%,24.5%,Itaú Unibanco Holding,2015
113,"76,662","1,703.3","99,446.6","306,572",2.2%,1.7%,4.8%,China Southern Power Grid,2015
114,"76,392","1,932","37,182","213,000",2.5%,5.2%,9.4%,Walgreens,2015
115,"74,887","2,450.9","150,652.6","451,503",3.3%,1.6%,11.5%,China Resources National,2015
116,"74,724.9","-1,145.8","132,051.8","131,700",-1.5%,-0.9%,-5.9%,Sony,2015
117,"74,520","-1,636","41,404","347,000",-2.2%,-4%,-11.7%,Target,2015
118,"74,331","16,323","131,119","126,500",22%,12.4%,23.4%,Johnson & Johnson,2015
119,"74,196.2",803.3,"37,352.6","34,806",1.1%,2.2%,7.3%,Indian Oil,2015
120,"73,874.1","2,569.7","62,065","51,500",3.5%,4.1%,10.6%,Anthem,2015
121,"73,316","6,309","902,337","68,000",8.6%,0.7%,8.8%,MetLife,2015
122,"72,569","3,895","406,529","54,551",5.4%,1%,11.2%,Zurich Insurance Group,2015
123,"71,602.8","2,582.8","445,461.5","26,364",3.6%,0.6%,16.2%,Aviva,2015
124,"71,487","14,444","131,133","53,600",20.2%,11%,13.8%,Alphabet,2015
125,"71,254.3",960.5,"63,990.2","38,830",1.3%,1.5%,7.6%,Marubeni,2015
126,"71,184.8","5,035.2","481,008.9","111,628",7.1%,1%,16.4%,Banco do Brasil,2015
127,"71,159.8","4,191","239,143.4","73,262",5.9%,1.8%,5.2%,State Farm Insurance Cos.,2015
128,"71,111.3",-936.5,"74,061.7","189,786",-1.3%,-1.3%,-8.3%,Peugeot,2015
129,"70,908.3",761.4,"42,572.3","330,680",1.1%,1.8%,7%,Groupe Auchan,2015
130,"70,648.4","1,504.7","50,327.9","27,429",2.1%,3%,8.4%,Pertamina,2015
131,"70,169.6","1,632.4","49,678.5","254,084",2.3%,3.3%,10.7%,Panasonic,2015
132,"69,755.4","3,643.3","139,891.3","71,994",5.2%,2.6%,7.8%,Mitsubishi Corp.,2015
133,"69,367","7,690","1,945,539","4,982",11.1%,0.4%,290.1%,Freddie Mac,2015
134,"68,986.2","3,856.2","1,480,094.4","108,565",5.6%,0.3%,5.8%,Groupe BPCE,2015
135,"68,775","8,380","159,339","139,000",12.2%,5.3%,15.9%,Comcast,2015
136,"67,944.6","9,269.6","181,940","105,970",13.6%,5.1%,9.4%,Vodafone Group,2015
137,"67,830","-5,508","22,962","553,089",-8.1%,-24%,-,U.S. Postal Service,2015
138,"67,396.1","2,802","522,463.9","73,610",4.2%,0.5%,18.7%,Nippon Life Insurance,2015
139,"67,206","13,832","151,413","47,044",20.6%,9.1%,17.5%,BHP Billiton,2015
140,"66,826.6","3,980.9","147,972.2","123,700",6%,2.7%,15.6%,Telefonica,2015
141,"66,683","6,513","70,509","271,000",9.8%,9.2%,37.3%,PepsiCo,2015
142,"65,960.4","1,295.8","415,621.7","54,090",2%,0.3%,15.1%,Dai-ichi Life Insurance,2015
143,"65,693.2","4,641.1","1,048,008.5","903,357",7.1%,0.4%,12%,China Post Group,2015
144,"65,615.1",727.5,"52,570.2","250,138",1.1%,1.4%,5.4%,China North Industries,2015
145,"65,591.1","2,324.4","1,332,859.4","84,490",3.5%,0.2%,3.1%,Lloyds Banking Group,2015
146,"65,300.8",178.5,"27,261.3","19,373",0.3%,0.7%,5.5%,Tewoo Group,2015
147,"65,273.4",387.9,"65,755.9","249,966",0.6%,0.6%,4.2%,AEON,2015
148,"65,222.8",-10.6,"57,549.9","340,060",-,-,-2.3%,Finatis,2015
149,"65,100","6,220","91,289","211,500",9.6%,6.8%,19.9%,United Technologies,2015
150,"64,961.5","3,196.9","74,923.2","290,183",4.9%,4.3%,9.3%,Bosch,2015
151,"64,719",648,"19,433","17,615",1%,3.3%,13.2%,Louis Dreyfus Commodities,2015
152,"64,406","7,529","515,581","65,000",11.7%,1.5%,7%,AIG,2015
153,"64,251.8","6,859.5","58,108.9","173,000",10.7%,11.8%,41.5%,Unilever,2015
154,"63,912.2","2,403.7","104,435.6","59,784",3.8%,2.3%,19.7%,RWE,2015
155,"63,744.8","3,467.8","86,739.4","191,156",5.4%,4%,27.7%,America Movil,2015
156,"63,369.1","2,667.9","36,603.7","312,785",4.2%,7.3%,17.2%,Pacific Construction Group,2015
157,"63,175.8",-,"58,191.1","198,741",-,-,-,Toshiba,2015
158,"62,803.9","3,853.8","80,617.8","24,930",6.1%,4.8%,11%,Reliance Industries,2015
159,"62,287.7",760,"128,887.2","535,942",1.2%,0.6%,2.8%,Aviation Industry Corp. of China,2015
160,"62,147.6","2,037.7","112,881.7","454,292",3.3%,1.8%,3.4%,China Telecommunications,2015
161,"61,869.6","4,106.9","118,527.9","43,330",6.6%,3.5%,24%,Tokyo Electric Power,2015
162,"61,504.9",600.9,"78,110.6","37,225",1%,0.8%,1.6%,POSCO,2015
163,"61,468.7","1,002.9","513,571.7","28,602",1.6%,0.2%,3%,Aegon,2015
164,"61,040.3","2,206","2,067,396.2","98,138",3.6%,0.1%,2.7%,Deutsche Bank,2015
165,"60,119.2","1,467.1","106,696.3","113,189",2.4%,1.4%,10.6%,China Communications Construction,2015
166,"59,648.1","1,432.4","478,404.4","4,705",2.4%,0.3%,7.1%,CNP Assurances,2015
167,"59,593","10,210","125,387","133,413",17.1%,8.1%,14.4%,Novartis,2015
168,"58,232","3,032","35,471","336,150",5.2%,8.5%,141.6%,UPS,2015
169,"58,167","3,772","68,796","53,216",6.5%,5.5%,16.8%,Dow Chemical,2015
170,"58,003.2","2,040.8","53,402.1","48,800",3.5%,3.8%,14.1%,Aetna,2015
171,"57,221.5","2,467.9","37,488.9","203,000",4.3%,6.6%,10.1%,Wesfarmers,2015
172,"57,161",515,"21,432","35,000",0.9%,2.4%,6.1%,Bunge,2015
173,"57,070","1,659.5","782,125.8","89,486",2.9%,0.2%,3.1%,Intesa Sanpaolo,2015
174,"57,047.5","2,127.6","126,083.3","120,842",3.7%,1.7%,14.3%,People’s Insurance Co. of China,2015
175,"57,038.6",379.3,"33,729.2","83,000",0.7%,1.1%,3.6%,LG Electronics,2015
176,"56,223","2,698","31,827","220,500",4.8%,8.5%,27.1%,Lowe’s,2015
177,"56,185.8","7,579.3","421,066","329,566",13.5%,1.8%,22.5%,Sberbank,2015
178,"56,031.3","4,544.7","84,977.6","118,888",8.1%,5.3%,18.7%,Bayer,2015
179,"56,027.7",284.9,"45,528.6","160,745",0.5%,0.6%,7.6%,ThyssenKrupp,2015
180,"55,997","6,869","116,539","19,100",12.3%,5.9%,13.2%,ConocoPhillips,2015
181,"55,940.4","2,250.1","22,841.6","198,000",4%,9.9%,23.3%,Woolworths,2015
182,"55,870","11,704","91,956","106,700",20.9%,12.7%,21%,Intel,2015
183,"55,691",633,"64,469","27,605",1.1%,1%,95.3%,Energy Transfer Equity,2015
184,"55,686.8","1,595.1","43,794.1","54,665",2.9%,3.6%,8.7%,Seven & I Holdings,2015
185,"55,628.5","6,505.8","350,162.2","81,621",11.7%,1.9%,21%,Banco Bradesco,2015
186,"55,325.7","4,715","762,879.4","179,288",8.5%,0.6%,10.9%,CITIC Group,2015
187,"55,184","3,695","84,681","114,233",6.7%,4.4%,22.1%,Caterpillar,2015
188,"54,672.9","2,138.4","62,781.6","23,354",3.9%,3.4%,6.3%,Repsol,2015
189,"54,494.7","10,198.2","76,143.5","88,509",18.7%,13.4%,51.7%,Roche Group,2015
190,"54,464.2","10,687.4","1,010,364.1","95,659",19.6%,1.1%,14.1%,Bank of Communications,2015
191,"54,460.7","2,507.1","98,670.3","117,395",4.6%,2.5%,8.5%,Renault,2015
192,"54,459.4","1,264.2","54,209.3","181,742",2.3%,2.3%,5.8%,Saint-Gobain,2015
193,"54,252.9","2,551.9","148,961.1","40,292",4.7%,1.7%,5.2%,Korea Electric Power,2015
194,"54,123","1,381","766,655","48,331",2.6%,0.2%,3.3%,Prudential Financial,2015
195,"53,850.7",-286.4,"2,117,097","132,300",-0.5%,-,-0.3%,Barclays,2015
196,"52,731.1","4,376","149,685.3","212,233",8.3%,2.9%,7.7%,Shenhua Group,2015
197,"52,700.4","1,281.4","67,614","295,763",2.4%,1.9%,7.4%,Deutsche Bahn,2015
198,"52,383.1",-374.1,"59,010.2","110,261",-0.7%,-0.6%,-6.2%,China Minmetals,2015
199,"52,325","1,227","106,961.9","156,233",2.3%,1.1%,3.4%,Orange,2015
200,"51,992","3,297.8","76,261.3","185,293",6.3%,4.3%,18.5%,Vinci,2015
201,"51,282.3","9,402.2","2,386,371.2","125,739",18.3%,0.4%,10%,Mitsubishi UFJ Financial Group,2015
202,"51,176",864.9,"30,876","216,693",1.7%,2.8%,9.6%,JBS,2015
203,"51,163.8",951.2,"47,575","146,543",1.9%,2%,25.9%,ACS,2015
204,"51,024.2","1,949","59,694.2","84,447",3.8%,3.3%,9.4%,Nippon Steel & Sumitomo Metal,2015
205,"50,932.9",873.9,"34,578.6","19,965",1.7%,2.5%,9.7%,SSE,2015
206,"50,855.1","2,733.7","71,392.7","110,487",5.4%,3.8%,13.5%,Itochu,2015
207,"50,566",819.9,"42,904.8","108,000",1.6%,1.9%,12.6%,Beijing Automotive Group,2015
208,"50,337","5,015","68,844","119,207",10%,7.3%,12.1%,A.P. Møller-Mærsk A/S,2015
209,"50,155.2","6,224.6","90,624.5","40,000",12.4%,6.9%,14.4%,SABIC,2015
210,"49,940.4","-1,680.3","48,575.4","43,266",-3.4%,-3.5%,-12.2%,Hyundai Heavy Industries,2015
211,"49,605","9,135","169,274","78,300",18.4%,5.4%,12.8%,Pfizer,2015
212,"49,371.2","3,170.3","500,307.4","29,400",6.4%,0.6%,11%,Manulife Financial,2015
213,"49,158.8","2,787.6","101,767.3","47,118",5.7%,2.7%,8.2%,Mitsui,2015
214,"48,813","7,501","84,186","180,000",15.4%,8.9%,16.7%,Walt Disney,2015
215,"48,580","5,438","66,904","120,000",11.2%,8.1%,14.4%,Schlumberger,2015
216,"48,500","1,147","23,466","57,000",2.4%,4.9%,11.9%,Humana,2015
217,"48,410.1","-1,665.9","35,378.9","37,530",-3.4%,-4.7%,-39.1%,Centrica,2015
218,"48,323.4",952.9,"86,187.3","136,616",2%,1.1%,2.4%,Baosteel Group,2015
219,"48,130","1,205.7","66,292.1","19,892",2.5%,1.8%,8.7%,International Petroleum Investment,2015
220,"47,951.2","2,787.4","47,100.7","6,900",5.8%,5.9%,15.4%,Enterprise Products,2015
221,"47,698","3,472.9","764,600.1","108,770",7.3%,0.5%,5.8%,Banco Bilbao Vizcaya Argentaria,2015
222,"47,664","6,527","107,827","59,775",13.7%,6.1%,14.1%,Rio Tinto Group,2015
223,"47,639.7",524,"41,062.3","25,501",1.1%,1.3%,3.7%,OMV Group,2015
224,"47,401.4",423.9,"149,606.4","142,260",0.9%,0.3%,5.5%,China Huaneng Group,2015
225,"47,142","7,853","105,134","74,042",16.7%,7.5%,13.9%,Cisco Systems,2015
226,"47,063","9,216","142,550","154,029",19.6%,6.5%,18.4%,Anheuser-Busch InBev,2015
227,"46,834.8",646.2,"88,189","228,613",1.4%,0.7%,5.2%,China United Network Communications,2015
228,"46,774.1","4,520.2","49,931.2","170,000",9.7%,9.1%,28.1%,Huawei Investment & Holding,2015
229,"46,516.7",931.5,"13,168","50,300",2%,7.1%,17.7%,Sysco,2015
230,"46,487.4",266.7,"12,831.4","21,700",0.6%,2.1%,6.4%,Ingram Micro,2015
231,"46,295.6",828.7,"27,081.3","60,000",1.8%,3.1%,20.3%,Lenovo Group,2015
232,"45,998","7,098","92,023","129,200",15.4%,7.7%,23.4%,Coca-Cola,2015
233,"45,772.8","3,150.9","36,589.4","189,168",6.9%,8.6%,24.4%,Continental,2015
234,"45,757.1","1,150.3","23,400.9","123,517",2.5%,4.9%,12.4%,Shandong Weiqiao Pioneering,2015
235,"45,613.8","9,074.3","762,706.2","75,109",19.9%,1.2%,17.9%,China Merchants Bank,2015
236,"45,609","4,174","24,283","13,100",9.2%,17.2%,50.2%,LyondellBasell Industries,2015
237,"45,600","3,614","37,073","112,000",7.9%,9.7%,106.3%,Lockheed Martin,2015
238,"45,567","2,097","33,070","298,099",4.6%,6.3%,13.7%,FedEx,2015
239,"45,543.7",-186.6,"52,270.6","132,146",-0.4%,-0.4%,-2.3%,HeBei Iron & Steel Group,2015
240,"45,445","-1,758.2","78,408.9","147,564",-3.9%,-2.2%,-148.7%,Aluminum Corp. of China,2015
241,"45,246.6","5,823.5","117,836.7","113,496",12.9%,4.9%,8.6%,Sanofi,2015
242,"44,730.7","2,843.2","37,346.9","48,936",6.4%,7.6%,13.9%,Kia Motors,2015
243,"44,122.6","6,854.2","1,529,835.6","68,739",15.5%,0.4%,11.7%,Sumitomo Mitsui Financial Group,2015
244,"44,100.5","1,070.5","42,187.5","127,470",2.4%,2.5%,11.3%,Bouygues,2015
245,"43,855","1,215","32,804","168,000",2.8%,3.7%,10.7%,Johnson Controls,2015
246,"43,810.1","2,663.4","1,021,436.6","129,021",6.1%,0.3%,4.5%,UniCredit Group,2015
247,"43,611.7",957.7,"18,655","17,556",2.2%,5.1%,11%,Amer International Group,2015
248,"43,514.2",788,"17,105.9","126,000",1.8%,4.6%,13.4%,Royal Ahold,2015
249,"43,464",70,"23,983","5,300",0.2%,0.3%,4.2%,Plains GP Holdings,2015
250,"43,386.4",221.7,"4,880","4,041",0.5%,4.5%,12%,World Fuel Services,2015
251,"43,231.3","1,273.5","27,279.8","158,846",2.9%,4.7%,19.3%,Fujitsu,2015
252,"43,084.9","1,156.2","43,558.2","92,000",2.7%,2.7%,7.5%,Wilmar International,2015
253,"43,009.7","1,071.8","66,599","201,066",2.5%,1.6%,12.1%,Power China,2015
254,"42,975.4","2,287.2","38,138","75,502",5.3%,6%,25.4%,Tata Motors,2015
255,"42,664","1,081.4","15,147","11,824",2.5%,7.1%,16.8%,CHS,2015
256,"42,653.3","1,239.2","156,681.3","38,358",2.9%,0.8%,12.2%,MS&AD Insurance,2015
257,"42,650","2,882","43,771","113,300",6.8%,6.6%,142.6%,American Airlines Group,2015
258,"42,515.1",904,"82,037.2","32,990",2.1%,1.1%,12.1%,Greenland Holding Group,2015
259,"42,237","11,920","98,335","70,000",28.2%,12.1%,24.5%,Merck,2015
260,"42,074.9","2,779.1","431,482.6","293,459",6.6%,0.6%,10.8%,State Bank of India,2015
261,"42,031","1,933.1","83,724.8","107,012",4.6%,2.3%,11.8%,Christian Dior,2015
262,"41,903","1,233","15,256","125,000",2.9%,8.1%,24.7%,Best Buy,2015
263,"41,836.4","2,413.9","305,059","40,793",5.8%,0.8%,24.1%,Meiji Yasuda Life Insurance,2015
264,"41,829.8",67.4,"39,512.4","222,137",0.2%,0.2%,2.1%,Shanxi Coking Coal Group,2015
265,"41,813.3",-185.9,"43,854.2","99,247",-0.4%,-0.4%,-5%,ChemChina,2015
266,"41,710.9","4,871.2","772,791.8","42,853",11.7%,0.6%,11.6%,National Australia Bank,2015
267,"41,593.5","3,892.1","43,785.9","28,173",9.4%,8.9%,15.8%,KDDI,2015
268,"41,230.1",305.9,"48,938","98,697",0.7%,0.6%,3.1%,Volvo,2015
269,"40,668.5","7,921.3","746,863.3","44,329",19.5%,1.1%,17.2%,Commonwealth Bank,2015
270,"40,644.4",477.8,"65,591.8","176,854",1.2%,0.7%,11.9%,China National Bldg. Materials Group,2015
271,"40,594.7","7,650.5","710,251.3","50,214",18.8%,1.1%,18.4%,Industrial Bank,2015
272,"40,524.5",123.7,"70,888.7","120,674",0.3%,0.2%,1.2%,COFCO,2015
273,"40,362",659,"54,121","79,655",1.6%,1.2%,7.5%,Delta Air Lines,2015
274,"40,334.4",284.1,"27,094.9","40,037",0.7%,1%,5.3%,Jiangsu Shagang Group,2015
275,"40,306","4,239","45,451","127,000",10.5%,9.3%,24%,Honeywell International,2015
276,"40,105.7",439,"32,107.1","94,743",1.1%,1.4%,8.5%,Sinopharm,2015
277,"40,087","1,875","31,199","197,000",4.7%,6%,-,HCA Holdings,2015
278,"40,085","8,477","856,240","34,000",21.1%,1%,10.2%,Goldman Sachs Group,2015
279,"40,052",843,"16,584","5,641",2.1%,5.1%,18.9%,Tesoro,2015
280,"40,019.1",786,"13,895.9","13,570",2%,5.7%,21.8%,Bharat Petroleum,2015
281,"39,921.9","7,229.8","647,185","59,659",18.1%,1.1%,18.7%,China Minsheng Banking,2015
282,"39,921","1,710","66,457","430,000",4.3%,2.6%,8.9%,Jardine Matheson,2015
283,"39,838.7","3,086.2","113,456","28,021",7.7%,2.7%,7.3%,Iberdrola,2015
284,"39,830","2,594","44,878","140,400",6.5%,5.8%,15.9%,ABB,2015
285,"39,810.5",73,"36,871.1","118,781",0.2%,0.2%,1.5%,Lufthansa Group,2015
286,"39,796","1,833","124,304","50,000",4.6%,1.5%,9.1%,Liberty Mutual Insurance Group,2015
287,"39,769",114.1,"32,010.2","195,000",0.3%,0.4%,1.8%,Weston,2015
288,"39,722.5",-288.9,"40,801.8","120,771",-0.7%,-0.7%,-3.9%,Sinomach,2015
