,rank,company,revenue % change,profits($M),profits % change,assets($M),employees,year
74,75,Statoil,-8.9%,"3,474.8",-48.8%,"131,639.4","22,516",2015
75,76,BASF,0.4%,"6,838.3",6.4%,"86,338.8","113,292",2015
76,77,Noble Group,-0.3%,132,-45.8%,"20,002.4","1,900",2015
77,78,Électricité de France,-3.7%,"4,909.5",5.1%,"324,245.6","148,024",2015
78,79,China Railway Construction,0.7%,"1,154.2",17.0%,"101,562.8","297,035",2015
79,80,Bank of America Corp.,-6.4%,"4,833",-57.7%,"2,104,534","223,715",2015
80,81,HSBC Holdings,-3.2%,"13,688",-15.5%,"2,634,139","264,767",2015
81,82,IBM,-5.6%,"12,022",-27.1%,"117,532","412,775",2015
82,83,Marathon Petroleum,-2.7%,"2,524",19.5%,"30,460","45,340",2015
83,84,Cardinal Health,-9.9%,"1,166",249.1%,"26,033","34,000",2015
84,85,Boeing,4.8%,"5,446",18.8%,"99,198","165,500",2015
85,86,Citigroup,-3.2%,"7,313",-46.5%,"1,842,530","241,000",2015
86,87,China Development Bank,26.1%,"15,921.5",22.9%,"1,662,855.3","8,723",2015
87,88,Amazon.com,19.5%,-241,-188.0%,"54,505","154,100",2015
88,89,Hitachi,-7.5%,"2,194.7",-17.0%,"103,372.4","333,150",2015
89,90,Wells Fargo,0.3%,"23,057",5.4%,"1,687,155","264,500",2015
90,91,ING Group,-23.0%,"1,277.4",-79.0%,"1,195,046.6","68,431",2015
91,92,JX Holdings,-20.9%,"-2,521.3",-336.0%,"61,908.1","26,415",2015
92,93,PTT,-5.7%,"1,718.3",-44.2%,"54,094.8","25,986",2015
93,94,China Life Insurance,7.8%,"1,687.5",183.7%,"442,745.8","151,719",2015
94,95,Microsoft,11.5%,"22,074",1.0%,"172,384","128,000",2015
95,96,Ping An Insurance,25.6%,"6,374.9",39.2%,"645,698.1","235,999",2015
96,97,Metro,-1.0%,172.3,-65.9%,"35,372","227,868",2015
97,98,Legal & General Group,38.2%,"1,621.5",16.2%,"622,938.9","11,038",2015
98,99,Hyundai Motor,6.3%,"6,977.7",-10.6%,"133,962.8","109,748",2015
99,100,Procter & Gamble,0.4%,"11,643",2.9%,"144,266","118,000",2015
100,101,Home Depot,5.5%,"6,345",17.8%,"39,946","371,000",2015
101,102,Deutsche Telekom,4.1%,"3,878.8",214.2%,"156,515.4","228,000",2015
102,103,Munich Re,-2.6%,"4,182.5",-4.9%,"330,283.1","43,316",2015
103,104,Archer Daniels Midland,-9.6%,"2,248",67.5%,"44,027","33,900",2015
104,105,Sinochem,6.2%,562.7,-25.5%,"57,278.2","54,742",2015
105,106,Airbus Group,2.4%,"3,108.1",59.8%,"116,275.9","138,622",2015
106,107,China FAW Group,6.9%,"4,248.3",30.2%,"52,983.6","135,599",2015
107,108,ArcelorMittal,-0.2%,"-1,086",-,"99,179","222,327",2015
108,109,Dongfeng Motor Group,6.7%,"1,600.4",10.5%,"54,201.4","197,192",2015
109,110,SoftBank Group,18.5%,"6,078.9",15.5%,"175,416.3","66,154",2015
110,111,Deutsche Post,2.7%,"2,747.2",-1.0%,"44,741.7","443,784",2015
111,112,Itaú Unibanco Holding,16.2%,"9,156.6",20.3%,"424,207.1","93,175",2015
112,113,China Southern Power Grid,5.5%,"1,703.3",28.5%,"99,446.6","306,572",2015
113,114,Walgreens,5.8%,"1,932",-21.1%,"37,182","213,000",2015
114,115,China Resources National,13.5%,"2,450.9",20.8%,"150,652.6","451,503",2015
115,116,Sony,-3.6%,"-1,145.8",-,"132,051.8","131,700",2015
116,117,Target,2.7%,"-1,636",-183.0%,"41,404","347,000",2015
117,118,Johnson & Johnson,4.2%,"16,323",18.0%,"131,119","126,500",2015
118,119,Indian Oil,-8.8%,803.3,-31.4%,"37,352.6","34,806",2015
119,120,Anthem,3.4%,"2,569.7",3.2%,"62,065","51,500",2015
120,121,MetLife,7.5%,"6,309",87.3%,"902,337","68,000",2015
121,122,Zurich Insurance Group,0.7%,"3,895",-3.3%,"406,529","54,551",2015
122,123,Aviva,16.5%,"2,582.8",-17.7%,"445,461.5","26,364",2015
123,124,Alphabet,17.9%,"14,444",11.8%,"131,133","53,600",2015
124,125,Marubeni,1.2%,960.5,-54.4%,"63,990.2","38,830",2015
125,126,Banco do Brasil,17.4%,"5,035.2",4.1%,"481,008.9","111,628",2015
126,127,State Farm Insurance Cos.,4.2%,"4,191",-19.2%,"239,143.4","73,262",2015
127,128,Peugeot,-1.0%,-936.5,-,"74,061.7","189,786",2015
128,129,Groupe Auchan,11.1%,761.4,-25.2%,"42,572.3","330,680",2015
129,130,Pertamina,-0.6%,"1,504.7",-50.9%,"50,327.9","27,429",2015
130,131,Panasonic,-9.1%,"1,632.4",35.8%,"49,678.5","254,084",2015
131,132,Mitsubishi Corp.,-8.5%,"3,643.3",1.0%,"139,891.3","71,994",2015
132,133,Freddie Mac,-14.6%,"7,690",-84.2%,"1,945,539","4,982",2015
133,134,Groupe BPCE,3.9%,"3,856.2",8.8%,"1,480,094.4","108,565",2015
134,135,Comcast,6.4%,"8,380",22.9%,"159,339","139,000",2015
135,136,Vodafone Group,3.0%,"9,269.6",-90.2%,"181,940","105,970",2015
136,137,U.S. Postal Service,0.8%,"-5,508",-,"22,962","553,089",2015
137,138,Nippon Life Insurance,-1.1%,"2,802",13.6%,"522,463.9","73,610",2015
138,139,BHP Billiton,1.9%,"13,832",27.2%,"151,413","47,044",2015
139,140,Telefonica,-11.8%,"3,980.9",-34.7%,"147,972.2","123,700",2015
140,141,PepsiCo,0.4%,"6,513",-3.4%,"70,509","271,000",2015
141,142,Dai-ichi Life Insurance,9.3%,"1,295.8",66.6%,"415,621.7","54,090",2015
142,143,China Post Group,11.4%,"4,641.1",12.8%,"1,048,008.5","903,357",2015
143,144,China North Industries,4.7%,727.5,1.7%,"52,570.2","250,138",2015
144,145,Lloyds Banking Group,-21.1%,"2,324.4",-,"1,332,859.4","84,490",2015
145,146,Tewoo Group,18.8%,178.5,-21.7%,"27,261.3","19,373",2015
146,147,AEON,1.6%,387.9,-15.3%,"65,755.9","249,966",2015
147,148,Finatis,-0.4%,-10.6,-110.1%,"57,549.9","340,060",2015
148,149,United Technologies,3.4%,"6,220",8.7%,"91,289","211,500",2015
149,150,Bosch,5.4%,"3,196.9",119.7%,"74,923.2","290,183",2015
150,151,Louis Dreyfus Commodities,1.8%,648,1.2%,"19,433","17,615",2015
151,152,AIG,-6.2%,"7,529",-17.1%,"515,581","65,000",2015
152,153,Unilever,-2.8%,"6,859.5",6.7%,"58,108.9","173,000",2015
153,154,RWE,-6.3%,"2,403.7",-,"104,435.6","59,784",2015
154,155,America Movil,3.5%,"3,467.8",-40.7%,"86,739.4","191,156",2015
155,156,Pacific Construction Group,6.3%,"2,667.9",-3.8%,"36,603.7","312,785",2015
156,157,Toshiba,-2.7%,-,-,"58,191.1","198,741",2015
157,158,Reliance Industries,-14.4%,"3,853.8",3.6%,"80,617.8","24,930",2015
158,159,Aviation Industry Corp. of China,10.3%,760,1.8%,"128,887.2","535,942",2015
159,160,China Telecommunications,0.2%,"2,037.7",31.0%,"112,881.7","454,292",2015
160,161,Tokyo Electric Power,-6.5%,"4,106.9",-6.2%,"118,527.9","43,330",2015
161,162,POSCO,8.8%,600.9,-52.2%,"78,110.6","37,225",2015
162,163,Aegon,-4.4%,"1,002.9",-22.8%,"513,571.7","28,602",2015
163,164,Deutsche Bank,0.8%,"2,206",149.5%,"2,067,396.2","98,138",2015
164,165,China Communications Construction,10.1%,"1,467.1",9.8%,"106,696.3","113,189",2015
165,166,CNP Assurances,5.4%,"1,432.4",4.7%,"478,404.4","4,705",2015
166,167,Novartis,1.3%,"10,210",11.3%,"125,387","133,413",2015
167,168,UPS,5.0%,"3,032",-30.6%,"35,471","336,150",2015
168,169,Dow Chemical,1.9%,"3,772",-21.2%,"68,796","53,216",2015
169,170,Aetna,22.6%,"2,040.8",6.6%,"53,402.1","48,800",2015
170,171,Wesfarmers,-6.7%,"2,467.9",6.4%,"37,488.9","203,000",2015
171,172,Bunge,-8.6%,515,68.3%,"21,432","35,000",2015
172,173,Intesa Sanpaolo,10.8%,"1,659.5",-,"782,125.8","89,486",2015
173,174,People's Insurance Co. of China,15.1%,"2,127.6",61.1%,"126,083.3","120,842",2015
174,175,LG Electronics,7.4%,379.3,134.9%,"33,729.2","83,000",2015
175,176,Lowe's,5.3%,"2,698",18.0%,"31,827","220,500",2015
176,177,Sberbank,2.6%,"7,579.3",-33.6%,"421,066","329,566",2015
177,178,Bayer,5.1%,"4,544.7",7.3%,"84,977.6","118,888",2015
178,179,ThyssenKrupp,7.2%,284.9,-,"45,528.6","160,745",2015
179,180,ConocoPhillips,-5.8%,"6,869",-25.0%,"116,539","19,100",2015
180,181,Woolworths,-8.0%,"2,250.1",-2.9%,"22,841.6","198,000",2015
181,182,Intel,6.0%,"11,704",21.7%,"91,956","106,700",2015
182,183,Energy Transfer Equity,14.2%,633,223.0%,"64,469","27,605",2015
183,184,Seven & I Holdings,-1.6%,"1,595.1",-9.6%,"43,794.1","54,665",2015
184,185,Banco Bradesco,9.4%,"6,505.8",13.3%,"350,162.2","81,621",2015
185,186,CITIC Group,-9.3%,"4,715",-23.4%,"762,879.4","179,288",2015
186,187,Caterpillar,-0.8%,"3,695",-2.5%,"84,681","114,233",2015
187,188,Repsol,-20.9%,"2,138.4",726.0%,"62,781.6","23,354",2015
188,189,Roche Group,3.9%,"10,198.2",-15.4%,"76,143.5","88,509",2015
189,190,Bank of Communications,12.7%,"10,687.4",5.5%,"1,010,364.1","95,659",2015
190,191,Renault,0.2%,"2,507.1",222.3%,"98,670.3","117,395",2015
191,192,Saint-Gobain,-2.4%,"1,264.2",60.0%,"54,209.3","181,742",2015
192,193,Korea Electric Power,10.6%,"2,551.9",4554.4%,"148,961.1","40,292",2015
193,194,Prudential Financial,30.5%,"1,381",-,"766,655","48,331",2015
194,195,Barclays,-6.7%,-286.4,-133.9%,"2,117,097","132,300",2015
195,196,Shenhua Group,-11.9%,"4,376",-26.3%,"149,685.3","212,233",2015
196,197,Deutsche Bahn,1.5%,"1,281.4",46.9%,"67,614","295,763",2015
197,198,China Minmetals,-22.3%,-374.1,-193.1%,"59,010.2","110,261",2015
198,199,Orange,-3.8%,"1,227",-50.7%,"106,961.9","156,233",2015
199,200,Vinci,-4.5%,"3,297.8",26.6%,"76,261.3","185,293",2015
200,201,Mitsubishi UFJ Financial Group,-0.7%,"9,402.2",-4.4%,"2,386,371.2","125,739",2015
201,202,JBS,18.9%,864.9,101.4%,"30,876","216,693",2015
202,203,ACS,0.4%,951.2,2.1%,"47,575","146,543",2015
203,204,Nippon Steel & Sumitomo Metal,-7.3%,"1,949",-19.6%,"59,694.2","84,447",2015
204,205,SSE,4.8%,873.9,70.3%,"34,578.6","19,965",2015
205,206,Itochu,-8.8%,"2,733.7",11.6%,"71,392.7","110,487",2015
206,207,Beijing Automotive Group,16.7%,819.9,-10.7%,"42,904.8","108,000",2015
207,208,A.P. Møller-Mærsk A/S,-12.5%,"5,015",45.3%,"68,844","119,207",2015
208,209,SABIC,-0.5%,"6,224.6",-7.7%,"90,624.5","40,000",2015
209,210,Hyundai Heavy Industries,0.9%,"-1,680.3",-759.9%,"48,575.4","43,266",2015
210,211,Pfizer,-7.8%,"9,135",-58.5%,"169,274","78,300",2015
211,212,Manulife Financial,172.4%,"3,170.3",4.3%,"500,307.4","29,400",2015
212,213,Mitsui,-14.1%,"2,787.6",-20.2%,"101,767.3","47,118",2015
213,214,Walt Disney,8.4%,"7,501",22.2%,"84,186","180,000",2015
214,215,Schlumberger,7.1%,"5,438",-19.2%,"66,904","120,000",2015
215,216,Humana,17.4%,"1,147",-6.8%,"23,466","57,000",2015
216,217,Centrica,16.6%,"-1,665.9",-212.2%,"35,378.9","37,530",2015
217,218,Baosteel Group,-2.0%,952.9,3.0%,"86,187.3","136,616",2015
218,219,International Petroleum Investment,-3.2%,"1,205.7",-37.1%,"66,292.1","19,892",2015
219,220,Enterprise Products,0.5%,"2,787.4",7.3%,"47,100.7","6,900",2015
220,221,Banco Bilbao Vizcaya Argentaria,-4.5%,"3,472.9",17.4%,"764,600.1","108,770",2015
221,222,Rio Tinto Group,-6.9%,"6,527",78.1%,"107,827","59,775",2015
222,223,OMV Group,-15.4%,524,-67.1%,"41,062.3","25,501",2015
223,224,China Huaneng Group,-0.6%,423.9,-0.6%,"149,606.4","142,260",2015
224,225,Cisco Systems,-3.0%,"7,853",-21.3%,"105,134","74,042",2015
225,226,Anheuser-Busch InBev,9.0%,"9,216",-36.0%,"142,550","154,029",2015
226,227,China United Network Communications,-5.2%,646.2,15.4%,"88,189","228,613",2015
227,228,Huawei Investment & Holding,20.3%,"4,520.2",32.9%,"49,931.2","170,000",2015
228,229,Sysco,4.7%,931.5,-6.1%,"13,168","50,300",2015
229,230,Ingram Micro,9.2%,266.7,-14.1%,"12,831.4","21,700",2015
230,231,Lenovo Group,19.6%,828.7,1.4%,"27,081.3","60,000",2015
231,232,Coca-Cola,-1.8%,"7,098",-17.3%,"92,023","129,200",2015
232,233,Continental,3.4%,"3,150.9",23.4%,"36,589.4","189,168",2015
233,234,Shandong Weiqiao Pioneering,16.5%,"1,150.3",4.3%,"23,400.9","123,517",2015
234,235,China Merchants Bank,33.7%,"9,074.3",7.8%,"762,706.2","75,109",2015
235,236,LyondellBasell Industries,3.5%,"4,174",8.2%,"24,283","13,100",2015
236,237,Lockheed Martin,0.5%,"3,614",21.2%,"37,073","112,000",2015
237,238,FedEx,2.9%,"2,097",34.3%,"33,070","298,099",2015
238,239,HeBei Iron & Steel Group,11.5%,-186.6,-,"52,270.6","132,146",2015
239,240,Aluminum Corp. of China,-,"-1,758.2",-,"78,408.9","147,564",2015
240,241,Sanofi,2.3%,"5,823.5",18.0%,"117,836.7","113,496",2015
241,242,Kia Motors,2.9%,"2,843.2",-18.5%,"37,346.9","48,936",2015
242,243,Sumitomo Mitsui Financial Group,-4.8%,"6,854.2",-17.8%,"1,529,835.6","68,739",2015
243,244,Bouygues,-0.7%,"1,070.5",-,"42,187.5","127,470",2015
244,245,Johnson Controls,2.6%,"1,215",3.1%,"32,804","168,000",2015
245,246,UniCredit Group,-13.8%,"2,663.4",-,"1,021,436.6","129,021",2015
246,247,Amer International Group,14.7%,957.7,14.9%,"18,655","17,556",2015
247,248,Royal Ahold,0.1%,788,-76.6%,"17,105.9","126,000",2015
248,249,Plains GP Holdings,2.9%,70,366.7%,"23,983","5,300",2015
249,250,World Fuel Services,4.4%,221.7,9.2%,"4,880","4,041",2015
250,251,Fujitsu,-9.1%,"1,273.5",12.7%,"27,279.8","158,846",2015
251,252,Wilmar International,-2.3%,"1,156.2",-12.3%,"43,558.2","92,000",2015
252,253,Power China,16.9%,"1,071.8",28.7%,"66,599","201,066",2015
253,254,Tata Motors,11.6%,"2,287.2",-1.1%,"38,138","75,502",2015
254,255,CHS,-4.1%,"1,081.4",9.0%,"15,147","11,824",2015
255,256,MS&AD Insurance,-2.1%,"1,239.2",32.8%,"156,681.3","38,358",2015
256,257,American Airlines Group,59.5%,"2,882",-,"43,771","113,300",2015
257,258,Greenland Holding Group,3.7%,904,-32.1%,"82,037.2","32,990",2015
258,259,Merck,-4.1%,"11,920",170.7%,"98,335","70,000",2015
259,260,State Bank of India,12.1%,"2,779.1",18.6%,"431,482.6","293,459",2015
260,261,Christian Dior,9.4%,"1,933.1",5.0%,"83,724.8","107,012",2015
261,262,Best Buy,-7.3%,"1,233",131.8%,"15,256","125,000",2015
262,263,Meiji Yasuda Life Insurance,-12.3%,"2,413.9",0.5%,"305,059","40,793",2015
263,264,Shanxi Coking Coal Group,8.9%,67.4,-9.8%,"39,512.4","222,137",2015
264,265,ChemChina,5.3%,-185.9,-,"43,854.2","99,247",2015
265,266,National Australia Bank,-13.9%,"4,871.2",-10.0%,"772,791.8","42,853",2015
266,267,KDDI,-3.8%,"3,892.1",21.1%,"43,785.9","28,173",2015
267,268,Volvo,-1.5%,305.9,-44.4%,"48,938","98,697",2015
268,269,Commonwealth Bank,-11.6%,"7,921.3",0.6%,"746,863.3","44,329",2015
269,270,China National Bldg. Materials Group,-0.9%,477.8,9.8%,"65,591.8","176,854",2015
270,271,Industrial Bank,16.6%,"7,650.5",14.1%,"710,251.3","50,214",2015
271,272,COFCO,31.8%,123.7,197.3%,"70,888.7","120,674",2015
272,273,Delta Air Lines,6.9%,659,-93.7%,"54,121","79,655",2015
273,274,Jiangsu Shagang Group,8.7%,284.1,64.3%,"27,094.9","40,037",2015
274,275,Honeywell International,3.2%,"4,239",8.0%,"45,451","127,000",2015
275,276,Sinopharm,20.5%,439,27.7%,"32,107.1","94,743",2015
276,277,HCA Holdings,5.4%,"1,875",20.5%,"31,199","197,000",2015
277,278,Goldman Sachs Group,-1.9%,"8,477",5.4%,"856,240","34,000",2015
278,279,Tesoro,2.2%,843,104.6%,"16,584","5,641",2015
279,280,Bharat Petroleum,-9.0%,786,21.5%,"13,895.9","13,570",2015
280,281,China Minsheng Banking,12.4%,"7,229.8",5.1%,"647,185","59,659",2015
281,282,Jardine Matheson,1.2%,"1,710",9.2%,"66,457","430,000",2015
282,283,Iberdrola,-8.5%,"3,086.2",-9.6%,"113,456","28,021",2015
283,284,ABB,-4.8%,"2,594",-6.9%,"44,878","140,400",2015
284,285,Lufthansa Group,-0.1%,73,-82.4%,"36,871.1","118,781",2015
285,286,Liberty Mutual Insurance Group,1.7%,"1,833",5.2%,"124,304","50,000",2015
286,287,Weston,22.0%,114.1,-80.9%,"32,010.2","195,000",2015
287,288,Sinomach,0.8%,-288.9,-215.8%,"40,801.8","120,771",2015
288,289,Credit Suisse Group,-2.1%,"2,049",-18.4%,"927,584.1","45,800",2015
289,290,Tokio Marine Holdings,-5.3%,"2,250.5",22.5%,"174,211.2","33,786",2015
290,291,Mitsubishi Electric,-2.8%,"2,134.6",39.3%,"33,854.1","129,249",2015
291,292,Talanx,4.6%,"1,020.1",0.8%,"178,219","19,819",2015
292,293,Denso,-4.1%,"2,350",-15.1%,"44,060.2","146,714",2015
293,294,United Continental Holdings,1.6%,"1,132",98.2%,"37,353","84,000",2015
294,295,DZ Bank,8.2%,"2,294.9",47.9%,"487,045.4","28,012",2015
295,296,Shanghai Pudong Devel. Bank,22.8%,"7,632.3",14.7%,"676,325.6","43,654",2015
296,297,New York Life Insurance,7.4%,"1,602",20.8%,"249,664.3","11,563",2015
297,298,Power Corp. of Canada,34.2%,"1,201.6",20.3%,"326,207.6","25,500",2015
298,299,Royal Bank of Canada,1.4%,"8,261.1",1.1%,"834,338.7","73,498",2015
299,300,Oracle,2.9%,"10,955",0.3%,"90,344","122,000",2015
300,301,Sainsbury's,0.5%,-267.1,-123.5%,"24,546.5","107,400",2015
301,302,GS Caltex,-8.3%,-642.2,-288.1%,"17,676.2","4,243",2015
302,303,Royal Bank of Scotland Group,-10.6%,"-4,561.5",-,"1,638,233.6","108,700",2015
303,304,Bohai Steel Group,6.1%,38.5,-40.1%,"45,917.1","67,151",2015
304,305,Alimentation Couche-Tard,6.8%,811.2,41.6%,"10,545","80,000",2015
305,306,Morgan Stanley,3.0%,"3,467",18.2%,"801,510","55,802",2015
306,307,Idemitsu Kosan,-15.9%,"-1,254.8",-446.3%,"22,775.4","8,829",2015
307,308,UBS Group,0.1%,"3,942.9",8.2%,"1,069,536.9","60,155",2015
308,309,GlaxoSmithKline,-8.6%,"4,536.8",-46.6%,"63,378.5","97,921",2015
309,310,Poste Italiane,8.5%,281.2,-78.9%,"192,328.3","143,003",2015
310,311,Tyson Foods,9.0%,864,11.1%,"23,956","124,000",2015
311,312,Vale,-21.9%,657,12.5%,"116,489","76,531",2015
312,313,Swiss Re,1.2%,"3,500",-21.2%,"204,461","12,224",2015
313,314,Edeka Zentrale,3.1%,329,37.5%,"7,496.3","336,100",2015
314,315,Jizhong Energy Group,-0.5%,-351.5,-,"30,614.4","147,970",2015
315,316,CPC,-1.8%,"-1,113.9",-1104.2%,"26,383.1","14,787",2015
316,317,Suncor Energy,-6.3%,"2,444",-35.6%,"68,794.6","13,980",2015
317,318,Magna International,5.2%,"1,882",20.6%,"18,139","131,225",2015
318,319,Mitsubishi Heavy Industries,8.6%,"1,004.2",-37.3%,"46,037.5","81,845",2015
319,320,Nationwide,5.0%,431.8,-45.8%,"182,575.4","33,672",2015
320,321,China National Aviation Fuel Group,-1.5%,94.2,-38.3%,"6,242.5","11,181",2015
321,322,SNCF,-15.5%,802.6,-,"51,055.1","245,763",2015
322,323,Deere,-4.6%,"3,161.7",-10.6%,"61,336.4","59,623",2015
323,324,DuPont,-1.2%,"3,625",-25.2%,"49,876","63,000",2015
324,325,American Express,3.1%,"5,885",9.8%,"159,103","54,000",2015
325,326,China Metallurgical Group,6.3%,280.6,-,"54,602.7","149,987",2015
326,327,Hindustan Petroleum,-8.3%,245.1,37.2%,"13,702.1","10,634",2015
327,328,China Pacific Insurance,13.6%,"1,793.2",19.1%,"132,994.8","90,829",2015
328,329,Hanwha,0.6%,-346.2,-391.4%,"112,542.5","34,828",2015
329,330,Westpac Banking,-7.7%,"6,955.8",2.8%,"674,402.4","36,373",2015
330,331,Achmea,14.7%,18.6,-96.0%,"112,770.7","16,556",2015
331,332,Korea Gas,1.8%,424.8,-,"42,558.7","3,349",2015
332,333,Allstate,2.1%,"2,850",25.0%,"108,533","39,950",2015
333,334,Canon,-7.9%,"2,407.3",1.9%,"37,209","191,889",2015
334,335,Standard Life,9.3%,828,13.7%,"317,429.1","8,335",2015
335,336,Hutchison Whampoa,6.2%,"8,660.2",115.9%,"113,928.4","280,000",2015
