,rank,company,revenues,revenue % change,profits($M),assets($M),profits % change,employees,change in rank 500,year
203,204,Itochu,"$49,732",11.4%,"$3,613.30","$81,481.60",11.2%,"117,074",11,2018
204,205,Sberbank,"$49,698",17.9%,"$12,869.00","$471,033.20",59.3%,"310,277",27,2018
205,206,Continental,"$49,608",10.6%,"$3,364.30","$44,957.40",8.6%,"235,473",7,2018
206,207,AIG,"$49,520",-5.4%,"$-6,084.00","$498,301.00",-,"49,800",-32,2018
207,208,Christian Dior,"$49,221",16.9%,"$2,525.00","$87,370.30",45.1%,"131,310",26,2018
208,209,Tokio Marine Holdings,"$48,731",0.9%,"$2,565.00","$215,648.80",1.5%,"39,191",-16,2018
209,210,Centene,"$48,572",19.3%,$828,"$21,855.00",47.3%,"33,700",34,2018
210,211,Deutsche Bahn,"$48,124",7.3%,$839.8,"$67,766.60",9.3%,"310,935",1,2018
211,212,Cisco Systems,"$48,005",-2.5%,"$9,609.00","$129,818.00",-10.5%,"72,900",-25,2018
212,213,China Merchants Bank,"$47,951",7.6%,"$10,379.40","$967,082.00",11.1%,"72,530",3,2018
213,214,RWE,"$47,832",-0.8%,"$2,189.10","$82,923.90",-,"59,547",-19,2018
214,215,HCA Healthcare,"$47,653",6.5%,"$2,216.00","$36,593.00",-23.3%,"221,491",-1,2018
215,216,State Bank of India,"$47,551",6.8%,$-706.8,"$554,532.40",-2064.90%,"264,041",1,2018
216,217,Energy Transfer Equity,"$47,487",26.6%,$954,"$86,246.00",-4.1%,"29,486",58,2018
217,218,ThyssenKrupp,"$47,389",8.7%,$-715.7,"$41,427.90",-317.8%,"158,739",6,2018
218,219,Kia Motors,"$47,360",4.3%,$856.4,"$48,855.00",-63.9%,"51,789",-10,2018
219,220,China Pacific Insurance (Group),"$47,319",17.7%,"$2,169.40","$179,856.30",19.5%,"101,887",32,2018
220,221,MS&AD Insurance Group Holdings,"$47,095",-4.4%,"$1,390.50","$211,350.80",-28.4%,"41,295",-33,2018
221,222,Aluminum Corp. of China,"$46,684",15.9%,$-428.6,"$81,593.50",-,"123,293",26,2018
222,223,Deutsche Bank,"$46,511",-4.8%,$-846.5,"$1,770,811.70",-,"97,535",-34,2018
223,224,Banco Bilbao Vizcaya Argentaria,"$46,508",6.4%,"$3,966.70","$828,601.10",3.2%,"131,856",-1,2018
224,225,Orange,"$46,324",2.4%,"$2,148.50","$113,729.60",-33.8%,"151,556",-15,2018
225,226,Vinci,"$46,302",8.3%,"$3,096.50","$83,817.20",11.8%,"194,428",1,2018
226,227,Shanghai Pudong Development Bank,"$46,295",13.8%,"$8,138.10","$942,450.90",1.8%,"54,263",18,2018
227,228,Woolworths Group,"$46,179",5.1%,"$1,156.10","$17,573.50",-,"202,000",-10,2018
228,229,Denso,"$46,106",10.4%,"$2,893.30","$54,212.50",21.7%,"168,813",7,2018
229,230,China Evergrande Group,"$46,019",44.6%,"$3,606.10","$270,539.30",52.2%,"125,526",108,2018
230,231,Saint-Gobain,"$46,002",6.4%,"$1,765.20","$51,533.40",21.8%,"179,149",-6,2018
231,232,Tata Motors,"$45,842",13.7%,"$1,394.40","$50,808.20",25.4%,"81,090",15,2018
232,233,Bunge,"$45,794",7.3%,$160,"$18,871.00",-78.5%,"31,000",-4,2018
233,234,Shandong Energy Group,"$45,650",55.8%,$489.3,"$43,534.90",1148.90%,"158,840",138,2018
234,235,Hengli Group,"$45,563",20.3%,"$1,016.00","$18,360.20",23.6%,"63,420",33,2018
235,236,KDDI,"$45,508",3.8%,"$5,167.50","$61,831.60",2.4%,"38,826",-17,2018
236,236,KDDI,"$45,508",3.8%,"$5,167.50","$61,831.60",2.4%,"38,826",-17,2018
237,237,Industrial Bank,"$45,491",6.7%,"$8,463.30","$985,387.30",4.4%,"58,997",-7,2018
238,238,Caterpillar,"$45,462",18%,$754,"$76,962.00",-,"98,400",26,2018
239,239,HBIS Group,"$45,390",3.7%,$-119.2,"$57,767.80",-,"123,178",-18,2018
240,240,Lenovo Group,"$45,350",5.4%,$-189.3,"$28,494.20",-135.4%,"54,000",-14,2018
241,241,Manulife Financial,"$44,941",11.7%,"$1,621.20","$582,322.00",-26.6%,"34,300",9,2018
242,242,China South Industries Group,"$44,785",-37.1%,$739.6,"$56,394.70",27.4%,"211,716",-141,2018
243,243,China National Building Material Group,"$44,701",13.7%,$15.2,"$90,846.90",-79.6%,"214,480",16,2018
244,244,Hanwha,"$44,590",9.8%,$358.6,"$149,659.00",-15.4%,"52,909",2,2018
245,245,China Shipbuilding Industry,"$44,431",5.4%,$716.3,"$76,200.20",47.5%,"173,201",-12,2018
246,246,Mitsui,"$44,155",9.6%,"$3,777.10","$106,335.60",33.7%,"42,304",3,2018
247,247,Nationwide,"$43,940",9.6%,$246.5,"$221,256.90",-26.2%,"33,135",7,2018
248,248,Wilmar International,"$43,846",5.9%,"$1,219.30","$40,932.60",25.4%,"90,000",-9,2018
249,249,Morgan Stanley,"$43,642",15%,"$6,111.00","$851,733.00",2.2%,"57,633",18,2018
250,250,Sumitomo,"$43,570",18.1%,"$2,784.60","$73,080.30",76.6%,"73,016",32,2018
251,251,China Minsheng Banking,"$43,298",7.6%,"$7,370.30","$906,340.00",2.3%,"57,882",-,2018
252,252,Greenland Holding Group,"$42,970",15.4%,"$1,337.20","$130,303.00",23.2%,"33,473",25,2018
253,253,Pertamina,"$42,959",17.7%,"$2,540.20","$51,213.60",-19.3%,"27,817",36,2018
254,254,E.ON,"$42,795",1.4%,"$4,424.30","$67,183.00",-,"42,699",-23,2018
255,255,Liberty Mutual Insurance Group,"$42,687",11.4%,$17,"$142,502.00",-98.3%,"50,000",10,2018
256,256,Sinomach,"$42,638",32.3%,$471.8,"$58,593.30",-6%,"150,967",78,2018
257,257,Swiss Re,"$42,487",-3%,$398,"$222,526.00",-89%,"14,485",-37,2018
258,258,New York Life Insurance,"$42,296",3.7%,"$1,866.90","$303,182.80",71.6%,"11,114",-15,2018
259,259,Goldman Sachs Group,"$42,254",12%,"$4,286.00","$916,776.00",-42.1%,"36,600",12,2018
260,260,American Airlines Group,"$42,207",5%,"$1,919.00","$51,396.00",-28.3%,"126,600",-7,2018
261,261,Best Buy,"$42,151",7%,"$1,000.00","$13,049.00",-18.6%,"125,000",-3,2018
262,262,Repsol,"$41,863",21.4%,"$2,390.80","$71,874.40",24.5%,"22,375",44,2018
263,263,Cigna,"$41,616",4.9%,"$2,237.00","$61,753.00",19.8%,"46,000",-7,2018
264,264,Charter Communications,"$41,581",43.4%,"$9,895.00","$146,623.00",180.9%,"94,800",112,2018
265,265,SSE,"$41,383",9.4%,"$1,088.80","$32,559.60",-47.7%,"20,785",4,2018
266,266,Delta Air Lines,"$41,244",4%,"$3,577.00","$53,292.00",-18.2%,"86,564",-9,2018
267,267,Zhejiang Geely Holding Group,"$41,172",31%,"$1,820.30","$42,445.60",43.8%,"77,073",76,2018
268,268,ZF Friedrichshafen,"$41,080",5.6%,"$1,221.90","$33,421.00",28.6%,"146,148",-5,2018
