id,rank,company,revenues,revenue % change,profits($M),assets($M),profits % change,employees,change in rank 500,year
46,47,China Mobile Communications,"$107,117",0.3%,"$9,614.3","$246,446",-5.2%,"463,712",-2,2017
47,48,J.P. Morgan Chase,"$105,486",4.4%,"$24,733","$2,490,972",1.2%,"243,355",7,2017
48,49,Legal & General Group,"$105,235",442.3%,"$1,697.9","$577,954",3.4%,"8,939",-,2017
49,50,Nippon Telegraph & Telephone,"$105,128",9.4%,"$7,384.4","$190,740",20.2%,"274,844",10,2017
50,51,China Life Insurance,"$104,818",3.5%,$162.4,"$483,026",-96.1%,"143,676",3,2017
51,52,BMW Group,"$104,130",1.8%,"$7,589.4","$198,835",7.4%,"124,729",-1,2017
52,53,Express Scripts Holding,"$100,288",-1.4%,"$3,404.4","$51,745",37.5%,"25,600",-1,2017
53,54,Trafigura Group,"$98,098",0.9%,$750.8,"$41,230",-39.3%,"4,107",5,2017
54,55,China Railway Engineering,"$96,979",-2.5%,$924.1,"$108,864",-6%,"292,215",2,2017
55,56,Prudential,"$96,965",53.7%,"$2,592.8","$581,221",-34.2%,"23,673",70,2017
56,57,Assicurazioni Generali,"$95,217",-7.2%,"$2,301.3","$549,656",2.2%,"73,727",-8,2017
57,58,China Railway Construction,"$94,877",-0.8%,"$1,192.4","$109,968",7.8%,"336,872",4,2017
58,59,Home Depot,"$94,595",6.9%,"$7,957","$42,966",13.5%,"406,000",10,2017
59,60,Boeing,"$94,571",-1.6%,"$4,895","$89,997",-5.4%,"150,540",1,2017
60,61,Wells Fargo,"$94,176",4.6%,"$21,938","$1,930,115",-4.2%,"269,100",6,2017
61,62,Bank of America Corp.,"$93,662",0.7%,"$17,906","$2,187,702",12.7%,"208,024",2,2017
62,63,Gazprom,"$91,382",-8.1%,"$14,222.6","$277,262",10.4%,"467,400",-7,2017
63,64,Nestle,"$90,814",-1.6%,"$8,659.2","$129,824",-8.1%,"328,000",2,2017
64,65,Alphabet,"$90,272",20.4%,"$19,478","$167,497",19.1%,"72,053",29,2017
65,66,Siemens,"$88,419",0.9%,"$6,050.5","$141,271",-27.4%,"351,000",5,2017
66,67,Carrefour,"$87,112",-0.4%,$825,"$51,513",-24.1%,"384,151",6,2017
67,68,Dongfeng Motor,"$86,194",4.1%,"$1,415","$59,532",-4.4%,"189,795",13,2017
68,69,Microsoft,"$85,320",-8.8%,"$16,798","$193,694",37.8%,"114,000",-6,2017
69,70,Anthem,"$84,863",7.2%,"$2,469.8","$65,083",-3.5%,"53,000",15,2017
70,71,Hitachi,"$84,558",1.2%,"$2,134.3","$86,742",48.8%,"303,887",8,2017
71,72,SoftBank Group,"$82,892",8.4%,"$13,163.4","$221,113",233.3%,"68,402",20,2017
72,73,Banco Santander,"$82,801",-2.5%,"$6,860.7","$1,412,281",3.7%,"185,606",2,2017
73,74,Citigroup,"$82,386",-6.7%,"$14,912","$1,792,077",-13.5%,"219,000",-4,2017
74,75,Petrobras,"$81,405",-16.3%,"$-4,838","$246,983",-,"68,829",-17,2017
75,76,Robert Bosch,"$80,869",3.3%,"$2,155.3","$86,348",-39.1%,"389,281",11,2017
76,77,Deutsche Telekom,"$80,832",5.3%,"$2,958.1","$156,597",-18%,"221,000",13,2017
77,78,Hyundai Motor,"$80,701",-0.8%,"$4,659","$148,092",-17.9%,"129,315",6,2017
78,79,Comcast,"$80,403",7.9%,"$8,695","$180,500",6.5%,"159,000",17,2017
79,80,Credit Agricole,"$80,258",-4.6%,"$3,914.7","$1,607,501",0.4%,"70,830",-3,2017
80,81,IBM,"$79,919",-3.1%,"$11,872","$117,470",-10%,"414,400",1,2017
81,82,Electricite de France,"$78,740",-5.4%,"$3,152.8","$297,026",139.4%,"154,808",-2,2017
82,83,Huawei Investment & Holding,"$78,511",24.9%,"$5,579.4","$63,837",-5%,"180,000",46,2017
83,84,Enel,"$78,064",-7%,"$2,842","$164,096",16.7%,"62,080",-6,2017
84,85,State Farm Insurance Cos.,"$76,132",0.6%,$350.3,"$256,030",-94.4%,"68,234",8,2017
85,86,China Resources National,"$75,776",-1%,"$2,580.2","$158,291",3.7%,"420,572",5,2017
86,87,AEON,"$75,772",11.8%,$103.9,"$78,223",108.6%,"274,760",24,2017
87,88,HSBC Holdings,"$75,329",-15.4%,"$2,479","$2,374,986",-81.7%,"241,000",-20,2017
88,89,Pacific Construction Group,"$74,629",2.2%,"$3,168.1","$48,196",-1.2%,"362,128",10,2017
89,90,Aviva,"$74,628",105.9%,$948.8,"$544,063",-32.3%,"29,530",189,2017
90,91,Uniper,"$74,407",-,"$-3,557.5","$51,541",-,"12,890",-,2017
91,92,Tesco,"$74,393",-15.1%,$-52.7,"$57,052",-125.3%,"342,770",-20,2017
92,93,Engie,"$73,692",-4.9%,$-458.9,"$167,158",-,"153,090",-4,2017
93,94,Airbus Group,"$73,628",3%,"$1,100.3","$117,204",-63.2%,"133,782",6,2017
94,95,SK Holdings,"$72,579",107.4%,$659.7,"$85,332",-86%,"84,000",199,2017
95,96,Phillips 66,"$72,396",-16.9%,"$1,555","$51,653",-63.2%,"14,800",-22,2017
96,97,Johnson & Johnson,"$71,890",2.6%,"$16,540","$141,208",7.3%,"126,400",6,2017
97,98,Procter & Gamble,"$71,726",-8.9%,"$10,508","$127,136",49.3%,"105,000",-12,2017
98,99,U.S. Postal Service,"$71,498",3.7%,"$-5,591","$25,219",-,"574,349",8,2017
99,100,China Southern Power Grid,"$71,242",-4.6%,"$2,329.8","$99,187",4.8%,"302,421",-5,2017
100,101,China South Industries Group,"$71,151",1.5%,$580.3,"$51,857",-61%,"232,817",1,2017
101,102,Lukoil,"$70,897",-16.3%,"$3,090.6","$82,179",-35.1%,"105,500",-26,2017
102,103,China Communications Construction,"$70,751",4.4%,"$1,431.3","$146,763",-16.2%,"152,666",7,2017
103,104,Groupe BPCE,"$70,517",25.5%,"$4,410.1","$1,302,721",22.6%,"102,827",51,2017
104,105,Sony,"$70,170",3.9%,$676.4,"$158,519",-45.1%,"128,400",8,2017
105,106,Valero Energy,"$70,166",-14.2%,"$2,289","$46,173",-42.6%,"9,996",-23,2017
106,107,Target,"$69,495",-5.8%,"$2,737","$37,431",-18.6%,"323,000",-10,2017
107,108,Societe Generale,"$69,335",-1.1%,"$4,284","$1,457,753",-3.5%,"151,341",-65,2017
108,109,Munich Re Group,"$68,700",-1.1%,"$2,853.1","$282,435",-17.2%,"43,428",-3,2017
109,110,Panasonic,"$67,775",6.7%,"$1,378.4","$53,702",0.2%,"257,533",18,2017
110,111,Nippon Life Insurance,"$67,388",0.4%,"$2,786.9","$650,429",-17.1%,"85,171",3,2017
111,112,Zurich Insurance Group,"$67,245",11%,"$3,211","$382,679",74.3%,"52,473",29,2017
112,113,Itau Unibanco Holding,"$66,876",21.4%,"$6,666.4","$415,972",-13.7%,"94,779",46,2017
113,114,People's Insurance Co. of China,"$66,732",3.3%,"$2,144.3","$134,132",-31%,"188,570",5,2017
114,115,China National Offshore Oil,"$65,892",-2.8%,"$1,752.4","$166,595",-62%,"100,821",-6,2017
115,116,Marubeni,"$65,792",8.2%,"$1,433.7","$61,904",176.4%,"39,952",22,2017
116,117,Deutsche Post DHL Group,"$65,787",-3.8%,"$2,918.3","$40,387",70.8%,"459,262",-9,2017
117,118,Freddie Mac,"$65,665",3.4%,"$7,815","$2,023,376",22.6%,"5,982",6,2017
118,119,China Post Group,"$65,605",-5.8%,"$4,980.3","$1,221,649",18.7%,"941,211",-14,2017
119,120,China Minmetals,"$65,547",105.6%,$-446.7,"$109,334",-,"212,406",203,2017
120,121,Lloyds Banking Group,"$65,208",38.2%,"$2,784.4","$1,010,245",111.9%,"70,433",72,2017
121,122,Lowe's,"$65,017",10.1%,"$3,093","$34,408",21.5%,"240,000",26,2017
122,123,Metro,"$64,853",-9%,$665,"$28,039",-13.6%,"196,540",-22,2017
123,124,Dell Technologies,"$64,806",18.1%,"$-1,672","$118,206",-,"138,000",-,2017
124,125,China FAW Group,"$64,784",3.1%,"$2,411.3","$54,772",-25.9%,"122,323",5,2017
125,126,BASF,"$63,641",-18.6%,"$4,485.3","$80,675",1.4%,"109,543",-38,2017
126,127,JXTG Holdings,"$63,629",1.8%,"$1,477.3","$59,767",-,"26,247",4,2017
127,128,MetLife,"$63,476",-9.3%,$800,"$898,764",-84.9%,"58,000",-24,2017
128,129,Tewoo Group,"$63,324",-1.4%,$141.7,"$34,713",-11.6%,"17,353",-7,2017
129,130,Aetna,"$63,155",4.7%,"$2,271","$69,146",-5%,"49,500",12,2017
130,131,PepsiCo,"$62,799",-0.4%,"$6,329","$74,129",16.1%,"264,000",-4,2017
131,132,ENI,"$62,694",-32.6%,"$-1,619","$131,349",-,"33,536",-67,2017
132,133,China Telecommunications,"$62,387",1%,"$1,764.6","$115,819",2.9%,"413,536",-1,2017
133,134,Archer Daniels Midland,"$62,346",-7.9%,"$1,279","$39,769",-30.8%,"31,800",-22,2017
134,135,China North Industries Group,"$61,326",-0.5%,$853,"$53,140",6.2%,"234,771",-1,2017
135,136,COFCO,"$61,265",-5%,$204.5,"$72,072",-23%,"101,708",-15,2017
136,137,Beijing Automotive Group,"$61,130",11.3%,"$1,260.6","$57,783",14.9%,"134,765",23,2017
137,138,UPS,"$60,906",4.4%,"$3,431","$40,377",-29.2%,"335,520",11,2017
138,139,Anbang Insurance Group,"$60,800",124%,"$3,883.9","$430,040",0.9%,"40,707",-,2017
139,140,Peugeot,"$59,749",-1.5%,"$1,913.1","$47,620",91.8%,"175,341",-,2017
140,141,Albertsons Cos.,"$59,678",1.6%,$-373.3,"$23,755",-,"273,000",-,2017
141,142,Dai-ichi Life Holdings,"$59,590",-2.5%,"$2,134.5","$466,617",43.5%,"62,606",-7,2017
142,143,Sinochem Group,"$59,533",-1.9%,$468,"$57,484",-,"60,576",-4,2017
143,144,Intel,"$59,387",7.3%,"$10,316","$113,327",-9.7%,"106,000",14,2017
144,145,Mitsubishi,"$59,303",2.8%,"$4,063.5","$141,402",-,"77,164",6,2017
145,146,Auchan Holding,"$58,862",-2.2%,$652.4,"$38,537",13.5%,"342,709",-2,2017
146,147,Aegon,"$58,789",50.5%,$483.3,"$448,666",-38.7%,"29,380",106,2017
147,148,Prudential Financial,"$58,779",2.9%,"$4,368","$783,962",-22.6%,"49,739",4,2017
148,149,Vodafone Group,"$58,611",-5%,"$-6,904","$165,420",-,"111,556",-16,2017
149,150,Unilever,"$58,292",-1.4%,"$5,732.7","$59,512",5.3%,"168,832",-3,2017
150,151,Banco do Brasil,"$58,093",-13.4%,"$2,013.8","$426,416",-52.3%,"100,622",-36,2017
151,152,Pemex,"$57,774",-21.4%,"$-10,256.3","$113,115",-,"125,689",-54,2017
152,153,Telefonica,"$57,544",-5.5%,"$2,619.7","$130,396",283.4%,"127,323",-16,2017
153,154,Banco Bradesco,"$57,443",31.3%,"$5,127.9","$366,418",-5.7%,"94,541",55,2017
154,155,United Technologies,"$57,244",-6.2%,"$5,055","$89,706",-33.6%,"201,600",-19,2017
155,156,ArcelorMittal,"$56,791",-10.7%,"$1,779","$75,142",-,"198,517",-33,2017
156,157,Renault,"$56,667",12.7%,"$3,780.9","$107,681",20.7%,"124,849",21,2017
157,158,Rosneft Oil,"$56,553",-12.7%,"$2,705.1","$180,756",-53.4%,"295,800",-40,2017
158,159,Shandong Weiqiao Pioneering Group,"$56,174",5.9%,"$1,217.2","$31,641",8.6%,"135,393",4,2017
159,160,Marathon Petroleum,"$55,858",-13.5%,"$1,174","$44,413",-58.8%,"44,460",-40,2017
160,161,Disney,"$55,632",6%,"$9,391","$92,033",12%,"195,000",3,2017
161,162,Aviation Industry Corp. of China,"$55,306",-8.2%,$464.2,"$124,892",-47.4%,"457,097",-19,2017
162,163,ING Group,"$55,282",-16.5%,"$5,501.6","$888,226",0.7%,"51,943",-46,2017
163,164,Mitsubishi UFJ Financial Group,"$55,185",15.9%,"$8,550.1","$2,722,354",7.9%,"115,276",27,2017
164,165,Royal Ahold Delhaize,"$54,955",29.7%,$917.9,"$38,257",-2.9%,"225,000",57,2017
165,166,Humana,"$54,379",0.2%,$614,"$25,396",-51.9%,"51,600",-4,2017
166,167,Seven & I Holdings,"$53,858",7.5%,$892.9,"$49,244",-33%,"54,712",12,2017
167,168,Indian Oil,"$53,562",-2.1%,"$2,960","$42,132",72.7%,"34,999",-7,2017
168,169,Roche Group,"$53,427",2%,"$9,719.9","$75,609",5.5%,"94,052",-2,2017
169,170,HNA Group,"$53,035",79.4%,$278.9,"$173,095",18.7%,"220,258",183,2017
170,171,Bank of Communications,"$52,990",-7.1%,"$10,116.9","$1,209,176",-4.4%,"95,160",-18,2017
171,172,CITIC Group,"$52,852",-5.5%,"$3,236.3","$938,261",-14%,"201,263",-16,2017
172,173,Pfizer,"$52,824",8.1%,"$7,215","$171,615",3.7%,"96,500",13,2017
173,174,Bayer,"$52,569",0.3%,"$5,010.6","$86,731",9.9%,"115,170",-9,2017
174,175,AIG,"$52,367",-10.2%,$-849,"$498,264",-138.7%,"56,400",-25,2017
175,176,America Movil,"$52,201",-7.4%,$462.9,"$73,555",-79%,"194,193",-22,2017
176,177,Korea Electric Power,"$51,500",-0.6%,"$6,074.1","$147,265",-48.3%,"43,688",-5,2017
177,178,Lockheed Martin,"$50,658",9.8%,"$5,302","$47,806",47.1%,"97,000",19,2017
178,179,Sysco,"$50,367",3.5%,$949.6,"$16,722",38.3%,"51,900",9,2017
179,180,FedEx,"$50,365",6.1%,"$1,820","$46,064",73.3%,"335,767",12,2017
180,181,Hewlett Packard Enterprise,"$50,123",-,"$3,161","$79,679",-,"195,000",-,2017
181,182,Louis Dreyfus Company,"$49,838",-10.6%,$305,"$19,843",44.5%,"17,407",-25,2017
182,183,Amer International Group,"$49,677",3.9%,"$1,199.9","$18,405",5.2%,"17,852",7,2017
183,184,Petronas,"$49,479",-22%,"$4,092.9","$134,528",21.4%,"51,034",-59,2017
184,185,Tokyo Electric Power,"$49,446",-2.2%,"$1,225.7","$110,202",4.5%,"42,060",-8,2017
185,186,Novartis,"$49,436",-3.1%,"$6,712","$130,124",-62.3%,"118,393",-11,2017
186,187,Cisco Systems,"$49,247",0.2%,"$10,739","$121,652",19.6%,"73,700",-4,2017
187,188,MS&AD Insurance Group Holdings,"$49,239",17.9%,"$1,942.2","$190,596",28.5%,"40,641",43,2017
188,189,Deutsche Bank,"$48,876",-6.8%,"$-1,550.4","$1,677,437",-,"99,744",-23,2017
189,190,PowerChina,"$48,869",7.2%,"$1,057.6","$86,687",-9.6%,"187,813",10,2017
190,191,JBS,"$48,825",-0.1%,$107.7,"$31,605",-92.3%,"237,061",-6,2017
191,192,PTT,"$48,719",-17.7%,"$2,681.6","$62,349",360.6%,"24,934",-46,2017
192,193,Tokio Marine Holdings,"$48,292",26.6%,"$2,527.4","$202,923",19.2%,"38,842",68,2017
193,194,HP,"$48,238",-53.3%,"$2,496","$29,010",-45.2%,"49,000",-146,2017
194,195,RWE,"$48,204",-6.6%,"$-6,249.1","$80,576",-,"58,652",-21,2017
195,196,Dow Chemical,"$48,158",-1.3%,"$4,318","$79,511",-43.8%,"56,000",-9,2017
196,197,Finatis,"$48,154",-7.3%,$687.8,"$46,270",-,"232,503",-27,2017
197,198,Wesfarmers,"$48,003",-7.6%,$296.1,"$30,358",-85.4%,"220,000",-27,2017
198,199,Sinopharm,"$47,810",7.9%,$504,"$36,767",13.7%,"106,772",6,2017
199,200,CNP Assurances,"$47,804",-3%,"$1,327.3","$442,027",5.8%,"5,035",-18,2017
200,201,LG Electronics,"$47,712",-4.6%,$66.2,"$31,348",-39.8%,"75,000",-21,2017
201,202,Sumitomo Mitsui Financial Group,"$47,375",19.2%,"$6,520.5","$1,775,349",21%,"77,205",41,2017
202,203,Reliance Industries,"$46,931",8%,"$4,458.9","$108,856",5.6%,"140,483",12,2017
203,204,China Baowu Steel Group,"$46,606",-11.5%,$442.8,"$106,725",-,"169,344",71,2017
204,205,Noble Group,"$46,528",-30.3%,$8.7,"$12,285",-,"1,000",-89,2017
205,206,Anheuser-Busch InBev,"$45,905",5.3%,"$1,241","$258,381",-85%,"206,633",5,2017
206,207,Statoil,"$45,873",-23.4%,"$-2,902","$104,530",-,"20,539",-62,2017
207,208,POSCO,"$45,621",-11.8%,"$1,167.5","$66,361",669.8%,"31,768",-35,2017
208,209,Kia Motors,"$45,425",3.7%,"$2,373.8","$42,141",2%,"51,357",-1,2017
209,210,Orange,"$45,249",1.3%,"$3,245.7","$99,840",10.3%,"155,202",-6,2017
210,211,ChemChina,"$45,177",9.1%,$17.9,"$54,341",-,"110,614",23,2017
211,212,Deutsche Bahn,"$44,850",0.1%,$768.6,"$59,716",-,"306,368",-9,2017
212,213,Continental,"$44,842",3%,"$3,099.1","$38,151",2.4%,"220,137",-,2017
213,214,HCA Holdings,"$44,747",2.7%,"$2,890","$33,758",35.7%,"210,500",-2,2017
214,215,Itochu,"$44,654",5.5%,"$3,250.6","$72,902",62.3%,"110,207",8,2017
215,216,China Merchants Bank,"$44,552",-8.1%,"$9,344.8","$855,070",1.8%,"70,461",-27,2017
216,217,State Bank of India,"$44,533",6.8%,$36,"$530,590",-98.1%,"278,872",15,2017
217,218,Woolworths,"$43,925",-13.2%,$-898.3,"$17,495",-150.3%,"205,000",-42,2017
218,219,KDDI,"$43,822",17.8%,"$5,045.1","$56,223",22.5%,"35,032",52,2017
219,220,Swiss Re,"$43,786",22.6%,"$3,558","$215,065",-22.6%,"14,053",62,2017
220,221,HBIS Group,"$43,769",-3.3%,$-146.8,"$51,858",-,"125,552",-20,2017
221,222,CEFC China Energy,"$43,743",4.5%,$740.9,"$22,578",22.8%,"29,637",7,2017
222,223,Banco Bilbao Vizcaya Argentaria,"$43,698",1.7%,"$3,842.8","$771,837",31.1%,"134,792",-4,2017
223,224,ThyssenKrupp,"$43,589",-11%,$328.6,"$39,411",-7.1%,"156,487",-40,2017
224,225,Saint-Gobain,"$43,231",-6.4%,"$1,449.8","$46,158",0.9%,"172,696",-29,2017
225,226,Lenovo Group,"$43,035",-4.2%,$535.1,"$27,186",-,"52,000",-24,2017
226,227,Vinci,"$42,771",-1.9%,"$2,770.1","$71,642",22.1%,"183,487",-17,2017
227,228,Nippon Steel & Sumitomo Metal,"$42,757",4.6%,"$1,208.5","$65,182",-0.2%,"100,169",10,2017
228,229,Bunge,"$42,679",-1.8%,$745,"$19,188",-5.8%,"32,000",-15,2017
229,230,Industrial Bank,"$42,622",-8.2%,"$8,105.9","$875,731",1.5%,"56,236",-35,2017
230,231,E.ON,"$42,213",-67.3%,"$-9,344.4","$67,179",-,"43,138",-199,2017
231,232,Sberbank,"$42,159",-7.6%,"$8,078","$415,730",121%,"325,075",-33,2017
232,233,China Shipbuilding Industry,"$42,149",17%,$485.8,"$69,621",-62.9%,"182,129",48,2017
233,234,Christian Dior,"$42,113",0.5%,"$1,740.3","$69,870",-38.7%,"120,479",-6,2017
234,235,Coca-Cola,"$41,863",-5.5%,"$6,527","$87,270",-11.2%,"100,300",-29,2017
235,236,Denso,"$41,781",10.9%,"$2,377.6","$46,233",16.9%,"154,493",32,2017
236,237,Fujitsu,"$41,620",5.4%,$816.7,"$28,646",13%,"155,069",11,2017
237,238,Guangzhou Automobile Industry Group,"$41,560",20.7%,$551.9,"$30,267",10.8%,"75,908",65,2017
238,239,Wilmar International,"$41,402",6.8%,$972.2,"$37,032",-7.9%,"90,000",15,2017
239,240,Sanofi,"$41,376",-0.2%,"$5,207.4","$110,390",9.5%,"113,816",-7,2017
240,241,China United Network Communications,"$41,274",-6.4%,$23.2,"$88,626",-95.8%,"253,724",-34,2017
241,242,Sumitomo Life Insurance,"$40,921",31.6%,$517.5,"$308,346",-6.1%,"42,245",93,2017
242,243,New York Life Insurance,"$40,787",-11.1%,"$1,088.1","$287,196",324.1%,"11,320",-45,2017
243,244,Centene,"$40,721",78.6%,$562,"$20,197",58.3%,"30,500",226,2017
244,245,Shanghai Pudong Development Bank,"$40,689",-3.2%,"$7,992.8","$842,832",-0.7%,"52,832",-18,2017
245,246,Hanwha,"$40,606",11%,$423.7,"$128,247",-,"49,000",31,2017
246,247,Tata Motors,"$40,329",-4.2%,"$1,111.6","$42,162",-34%,"79,558",-21,2017
247,248,Aluminum Corp. of China,"$40,278",6%,$-282.5,"$75,089",-,"121,146",14,2017
248,249,Mitsui,"$40,275",1.6%,"$2,825.3","$103,231",-,"42,316",-4,2017
249,250,Manulife Financial,"$40,238",49.4%,"$2,209.7","$537,461",28.9%,"34,500",144,2017
250,251,China Minsheng Banking,"$40,234",-5.2%,"$7,201.6","$848,389",-1.8%,"58,720",-30,2017
251,252,China Pacific Insurance (Group),"$40,193",2.2%,"$1,814.9","$146,873",-35.7%,"97,032",-1,2017
252,253,American Airlines Group,"$40,180",-2%,"$2,676","$51,274",-64.8%,"122,300",-17,2017
253,254,Nationwide,"$40,074",-0.4%,$334.3,"$197,790",-42.4%,"34,320",-13,2017
254,255,Merck,"$39,807",0.8%,"$3,920","$95,377",-11.8%,"68,000",-9,2017
255,256,Cigna,"$39,668",4.7%,"$1,867","$59,360",-10.8%,"41,000",8,2017
256,257,Delta Air Lines,"$39,639",-2.6%,"$4,373","$51,261",-3.4%,"83,756",-18,2017
257,258,Best Buy,"$39,403",-0.9%,"$1,228","$13,856",36.9%,"125,000",-14,2017
258,259,China National Building Material Group,"$39,323",24%,$74.5,"$81,224",-,"228,448",68,2017
259,260,Honeywell International,"$39,302",1.9%,"$4,809","$54,146",0.9%,"131,000",-4,2017
260,261,JD.com,"$39,155",35.7%,$-573,"$23,077",-,"120,622",105,2017
261,262,Mitsubishi Electric,"$39,119",6.9%,"$1,942.6","$37,519",2.1%,"138,700",14,2017
262,263,ZF Friedrichshafen,"$38,888",20.2%,$949.9,"$30,719",-12.1%,"136,820",57,2017
263,264,Caterpillar,"$38,537",-18%,$-67,"$74,704",-103.2%,"95,400",-70,2017
264,265,Liberty Mutual Insurance Group,"$38,308",-2.9%,"$1,006","$125,592",95.7%,"50,000",-16,2017
265,266,Power Corp. of Canada,"$38,286",27.9%,$855.5,"$315,387",-40.5%,"30,259",85,2017
266,267,Morgan Stanley,"$37,949",0.1%,"$5,979","$814,949",-2.4%,"55,311",-4,2017
267,268,Hengli Group,"$37,880",12.2%,$821.7,"$14,838",43.7%,"61,400",-,2017
268,269,SSE,"$37,813",-12.7%,"$2,082.9","$29,899",200.3%,"21,157",-53,2017
269,270,Massachusetts Mutual Life Insurance,"$37,788",-1.2%,"$1,273.5","$271,040",-10.6%,"11,737",-12,2017
270,271,Goldman Sachs Group,"$37,712",-3.8%,"$7,398","$860,165",21.6%,"34,400",-19,2017
271,272,Johnson Controls International,"$37,674",-6.3%,$-868,"$63,253",-155.5%,"209,000",-,2017
272,273,GlaxoSmithKline,"$37,642",3%,"$1,230.9","$72,985",-90.4%,"99,300",5,2017
273,274,China Huaneng Group,"$37,543",-13.1%,$-85.9,"$144,306",-111.1%,"143,691",-57,2017
274,275,Energy Transfer Equity,"$37,504",-11%,$995,"$79,011",-16.3%,"30,992",-50,2017
