,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company
0,C. Douglas McMillon,Retailing,General Merchandisers,"Bentonville, Ark.",https://www.walmart.com,25,"2,200,000",Walmart
1,Dai Houliang,Energy,Petroleum Refining,Beijing,https://www.sinopec.com,21,"619,151",Sinopec Group
2,Ben van Beurden,Energy,Petroleum Refining,The Hague,https://www.shell.com,25,"81,000",Royal Dutch Shell
3,Zhang Wei,Energy,Petroleum Refining,Beijing,https://www.cnpc.com.cn,19,"1,382,401",China National Petroleum
4,Xin Baoan,Energy,Utilities,Beijing,https://www.sgcc.com.cn,19,"917,717",State Grid
5,Amin H. Nasser,Energy,"Mining, Crude-Oil Production","Dhahran, Saudi Arabia",https://www.saudiaramco.com,1,"76,418",Saudi Aramco
6,Robert W. Dudley,Energy,Petroleum Refining,London,https://www.bp.com,25,"73,000",BP
7,Darren W. Woods,Energy,Petroleum Refining,"Irving, Texas",https://www.exxonmobil.com,25,"71,000",Exxon Mobil
8,Herbert Diess,Motor Vehicles & Parts,Motor Vehicles and Parts,"Wolfsburg, Germany",https://www.volkswagenag.com,25,"664,496",Volkswagen
9,Akio Toyoda,Motor Vehicles & Parts,Motor Vehicles and Parts,"Toyota, Japan",https://www.toyota-global.com,25,"370,870",Toyota Motor
10,Timothy D. Cook,Technology,"Computers, Office Equipment","Cupertino, Calif.",https://www.apple.com,17,"132,000",Apple
11,Warren E. Buffett,Financials,Insurance: Property and Casualty (Stock),Omaha,https://www.berkshirehathaway.com,23,"389,000",Berkshire Hathaway
12,Jeffrey P. Bezos,Retailing,Internet Services and Retailing,Seattle,https://www.amazon.com,11,"647,500",Amazon.com
13,David S. Wichmann,Health Care,Health Care: Insurance and Managed Care,"Minnetonka, Minn.",https://www.unitedhealthgroup.com,23,"300,000",UnitedHealth Group
14,Hyun-Suk Kim /Ki-Nam Kim,Technology,"Electronics, Electrical Equip.","Suwon, South Korea",https://www.samsung.com,25,"309,630",Samsung Electronics
15,Ivan Glasenberg,Energy,"Mining, Crude-Oil Production","Baar, Switzerland",https://www.glencore.com,9,"85,504",Glencore
16,Brian S. Tyler,Health Care,Wholesalers: Health Care,"Irving, Texas",https://www.mckesson.com,25,"70,000",McKesson
17,Ola Källenius,Motor Vehicles & Parts,Motor Vehicles and Parts,"Stuttgart, Germany",https://www.daimler.com,25,"298,683",Daimler
18,Larry J. Merlo,Health Care,Health Care: Pharmacy and Other Services,"Woonsocket, R.I.",https://www.cvshealth.com,24,"295,000",CVS Health
19,Patrick Pouyanné,Energy,Petroleum Refining,"Courbevoie, France",https://www.total.com,25,"104,460",Total
20,Guan Qing,Engineering & Construction,"Engineering, Construction",Beijing,https://www.cscec.com,8,"302,827",China State Construction Engineering
21,Jeremy Weir,Wholesalers,Trading,Singapore,https://www.trafigura.com,5,"4,316",Trafigura Group
22,Terry Gou,Technology,"Electronics, Electrical Equip.","New Taipei City, Taiwan",https://www.foxconn.com,15,"667,680",Hon Hai Precision Industry
23,John Elkann,Financials,Diversified Financials,Amsterdam,https://www.exor.com,9,"314,790",EXOR Group
24,Randall L. Stephenson,Telecommunications,Telecommunications,Dallas,https://www.att.com,25,"268,220",AT&T
25,Gu Shu,Financials,Banks: Commercial and Savings,Beijing,https://www.icbc-ltd.com,21,"449,296",Industrial & Commercial Bank of China
26,Steven H. Collis,Health Care,Wholesalers: Health Care,"Chesterbrook, Pa.",https://www.amerisourcebergen.com,20,"20,500",AmerisourceBergen
27,Michael K. Wirth,Energy,Petroleum Refining,"San Ramon, Calif.",https://www.chevron.com,25,"48,600",Chevron
28,Ma Mingzhe,Financials,"Insurance: Life, Health (stock)","Shenzhen, China",https://www.pingan.com,10,"376,900",Ping An Insurance
29,James P. Hackett,Motor Vehicles & Parts,Motor Vehicles and Parts,"Dearborn, Mich.",https://www.corporate.ford.com,25,"199,000",Ford Motor
30,Tian Guoli,Financials,Banks: Commercial and Savings,Beijing,https://www.ccb.com,20,"366,996",China Construction Bank
31,Mary T. Barra,Motor Vehicles & Parts,Motor Vehicles and Parts,Detroit,https://www.gm.com,25,"173,000",General Motors
32,Takehiko Kakiuchi,Wholesalers,Trading,Tokyo,https://www.mitsubishicorp.com,25,"79,994",Mitsubishi
33,Takahiro Hachigo,Motor Vehicles & Parts,Motor Vehicles and Parts,Tokyo,https://www.honda.com,25,"219,722",Honda Motor
34,W. Craig Jelinek,Retailing,General Merchandisers,"Issaquah, Wash.",https://www.costco.com,25,"194,000",Costco Wholesale
35,Zhou Mubing,Financials,Banks: Commercial and Savings,Beijing,https://www.abchina.com,20,"477,526",Agricultural Bank of China
36,Sundar Pichai,Technology,Internet Services and Retailing,"Mountain View, Calif.",https://www.abc.xyz,11,"98,771",Alphabet
37,Michael C. Kaufmann,Health Care,Wholesalers: Health Care,"Dublin, Ohio",https://www.cardinalhealth.com,22,"50,200",Cardinal Health
38,Chen Zhixin,Motor Vehicles & Parts,Motor Vehicles and Parts,Shanghai,https://www.saicmotor.com,8,"147,738",SAIC Motor
39,Stefano Pessina,Food & Drug Stores,Food and Drug Stores,"Deerfield, Ill.",https://www.walgreensbootsalliance.com,25,"299,000",Walgreens Boots Alliance
40,James Dimon,Financials,Banks: Commercial and Savings,New York City,https://www.jpmorganchase.com,25,"256,105",JPMorgan Chase & Co.
41,Alexey B. Miller,Energy,Energy,Moscow,https://www.gazprom.com,23,"466,100",Gazprom
42,Hans E. Vestberg,Telecommunications,Telecommunications,New York City,https://www.verizon.com,25,"144,500",Verizon Communications
43,Liu Liange,Financials,Banks: Commercial and Savings,Beijing,https://www.boc.cn,25,"310,119",Bank of China
44,Oliver Bäte,Financials,"Insurance: Life, Health (stock)",Munich,https://www.allianz.com,25,"142,460",Allianz
45,Thomas Buberl,Financials,"Insurance: Life, Health (stock)",Paris,https://www.axa.com,25,"104,065",AXA
46,W. Rodney McMullen,Food & Drug Stores,Food and Drug Stores,Cincinnati,https://www.thekrogerco.com,25,"453,000",Kroger
47,H. Lawrence Culp Jr.,Industrials,Industrial Machinery,Boston,https://www.ge.com,25,"283,000",General Electric
48,Hugh R. Frater,Financials,Diversified Financials,Washington DC,https://www.fanniemae.com,22,"7,400",Fannie Mae
49,Vagit Y. Alekperov,Energy,Petroleum Refining,Moscow,https://www.lukoil.com,20,"102,500",Lukoil
50,Wang Bin,Financials,"Insurance: Life, Health (stock)",Beijing,https://www.chinalife.com.cn,17,"175,077",China Life Insurance
51,Masatsugu Nagato,Financials,"Insurance: Life, Health (stock)",Tokyo,https://www.japanpost.jp,23,"245,922",Japan Post Holdings
52,Harald Krüger,Motor Vehicles & Parts,Motor Vehicles and Parts,Munich,https://www.bmwgroup.com,25,"134,682",BMW Group
53,Greg C. Garland,Energy,Petroleum Refining,Houston,https://www.phillips66.com,7,"14,200",Phillips 66
54,Zhang Zongyan,Engineering & Construction,"Engineering, Construction",Beijing,https://www.crecg.com,5,"307,992",China Railway Engineering Group
55,Li Yue,Telecommunications,Telecommunications,Beijing,https://www.10086.cn,19,"462,046",China Mobile Communications
56,Joseph W. Gorder,Energy,Petroleum Refining,San Antonio,https://www.valero.com,19,"10,261",Valero Energy
57,Brian T. Moynihan,Financials,Banks: Commercial and Savings,"Charlotte, N.C.",https://www.bankofamerica.com,25,"204,489",Bank of America Corp.
58,Chen Fenjian,Engineering & Construction,"Engineering, Construction",Beijing,https://www.crcc.cn,8,"356,326",China Railway Construction
59,Satya Nadella,Technology,Computer Software,"Redmond, Wash.",https://www.microsoft.com,22,"131,000",Microsoft
60,Ren Zhengfei,Technology,Network and Other Communications Equipment,"Shenzhen, China",https://www.huawei.com,10,"188,000",Huawei Investment & Holding
61,Craig A. Menear,Retailing,Specialty Retailers,Atlanta,https://www.homedepot.com,25,"413,000",Home Depot
62,Yang Hua,Energy,"Mining, Crude-Oil Production",Beijing,https://www.cnooc.com.cn,13,"93,601",China National Offshore Oil
63,Jun Sawada,Telecommunications,Telecommunications,Tokyo,https://www.ntt.co.jp,25,"303,351",Nippon Telegraph & Telephone
64,Masahiro Okafuji,Wholesalers,Trading,"Osaka, Japan",https://www.itochu.co.jp,25,"139,157",Itochu
65,Hiroto Saikawa,Motor Vehicles & Parts,Motor Vehicles and Parts,"Yokohama, Japan",https://www.nissan-global.com,25,"148,513",Nissan Motor
66,Zheng Zhijie,Financials,Banks: Commercial and Savings,Beijing,https://www.cdb.com.cn,3,"9,507",China Development Bank
67,David L. Calhoun,Aerospace & Defense,Aerospace and Defense,Chicago,https://www.boeing.com,25,"153,000",Boeing
68,Charles W. Scharf,Financials,Banks: Commercial and Savings,San Francisco,https://www.wellsfargo.com,22,"258,700",Wells Fargo
69,Josef Kaeser,Industrials,Industrial Machinery,Munich,https://www.siemens.com,25,"379,000",Siemens
70,Michael L. Corbat,Financials,Banks: Commercial and Savings,New York City,https://www.citigroup.com,25,"204,000",Citigroup
71,Gary R. Heminger,Energy,Petroleum Refining,"Findlay, Ohio",https://www.marathonpetroleum.com,8,"60,350",Marathon Petroleum
72,Tae-Won Chey/Dong-Hyun Jang,Energy,Petroleum Refining,Seoul,https://www.sk.co.kr,4,"104,374",SK Holdings
73,Roberto da Cunha Castello Branco,Energy,Petroleum Refining,Rio de Janeiro,https://www.petrobras.com.br,25,"63,361",Petrobras
74,Brian L. Roberts,Telecommunications,Telecommunications,Philadelphia,https://www.comcastcorporation.com,17,"184,000",Comcast
75,Ulf Mark Schneider,"Food, Beverages & Tobacco",Food Consumer Products,"Vevey, Switzerland",https://www.nestle.com,25,"308,000",Nestlé
76,Volkmar Denner,Motor Vehicles & Parts,Motor Vehicles and Parts,"Stuttgart, Germany",https://www.bosch.com,25,"409,881",Bosch Group
77,Andreas Schierenbeck,Energy,Energy,"Düsseldorf, Germany",https://www.uniper.energy,3,"11,828",Uniper
78,Gail K. Boudreaux,Health Care,Health Care: Insurance and Managed Care,Indianapolis,https://www.antheminc.com,18,"63,900",Anthem
79,Wang Xiangming,Health Care,Pharmaceuticals,Hong Kong,https://www.crc.com.hk,10,"421,274",China Resources
80,Alexandre Bompard,Food & Drug Stores,Food and Drug Stores,"Massey, France",https://www.carrefour.com,25,"363,862",Carrefour
81,Li Shaozhu,Motor Vehicles & Parts,Motor Vehicles and Parts,"Wuhan, China",https://www.dfmc.com.cn,10,"167,528",Dongfeng Motor
82,Claudio Descalzi,Energy,Petroleum Refining,Rome,https://www.eni.com,25,"31,701",ENI
83,Michael S. Dell,Technology,"Computers, Office Equipment","Round Rock, Texas",https://www.delltechnologies.com,19,"157,000",Dell Technologies
84,José Antonio Álvarez,Financials,Banks: Commercial and Savings,Madrid,https://www.santander.com,25,"194,015",Banco Santander
85,Igor I. Sechin,Energy,Petroleum Refining,Moscow,https://www.rosneft.com,14,"308,000",Rosneft Oil
86,Xu Liuping,Motor Vehicles & Parts,Motor Vehicles and Parts,"Changchun, China",https://www.faw.com.cn,15,"142,451",China FAW Group
87,Ning Gaoning,Wholesalers,Trading,Beijing,https://www.sinochem.com,24,"66,713",Sinochem Group
88,Francesco Starace,Energy,Utilities,Rome,https://www.enel.com,25,"69,272",Enel
89,Timotheus Höttges,Telecommunications,Telecommunications,"Bonn, Germany",https://www.telekom.com,25,"215,675",Deutsche Telekom
90,Philippe Brassac,Financials,Banks: Commercial and Savings,Paris,https://www.credit-agricole.com,25,"73,346",Crédit Agricole
91,Philippe R. Donnet,Financials,"Insurance: Life, Health (stock)","Trieste, Italy",https://www.generali.com,25,"70,734",Assicurazioni Generali
92,Liu Qitao,Engineering & Construction,"Engineering, Construction",Beijing,https://www.ccccltd.cn,12,"178,572",China Communications Construction
93,Won-Hee Lee /Mong-Koo Chung,Motor Vehicles & Parts,Motor Vehicles and Parts,Seoul,https://www.hyundai.com/worldwide/,24,"122,217",Hyundai Motor
94,Octavio Romero Oropeza,Energy,"Mining, Crude-Oil Production",Mexico City,https://www.pemex.com,25,"131,108",Pemex
95,Carlos Tavares,Motor Vehicles & Parts,Motor Vehicles and Parts,"Rueil-Malmaison, France",https://www.groupe-psa.com,25,"216,539",Peugeot
96,Yan Hao,Engineering & Construction,"Engineering, Construction","Urumqi, China",https://www.cpcg.com.cn,6,"387,525",Pacific Construction Group
97,Masayoshi Son,Telecommunications,Telecommunications,Tokyo,https://group.softbank/en/,12,"76,866",SoftBank Group
98,John Flint,Financials,Banks: Commercial and Savings,London,https://www.hsbc.com,25,"235,217",HSBC Holdings
99,C. Marc Doyle,Chemicals,Chemicals,"Wilmington, Del.",https://www.dupont.com,25,"98,000",DuPont
100,Liu Aili,Transportation,"Mail, Package, and Freight Delivery",Beijing,https://www.chinapost.com.cn,9,"935,191",China Post Group
101,Toshiaki Higashihara,Technology,"Electronics, Electrical Equip.",Tokyo,https://www.hitachi.com,25,"295,941",Hitachi
102,Dave J. Lewis,Food & Drug Stores,Food and Drug Stores,"Welwyn Garden City, Britain",https://www.tescoplc.com,25,"321,490",Tesco
103,Jean-Laurent Bonnafé,Financials,Banks: Commercial and Savings,Paris,https://group.bnpparibas/,25,"197,162",BNP Paribas
104,Tsutomu Sugimori,Energy,Petroleum Refining,Tokyo,https://www.hd.jxtg-group.co.jp,25,"40,695",JXTG Holdings
105,Mukesh D. Ambani,Energy,Petroleum Refining,Mumbai,https://www.ril.com,16,"194,056",Reliance Industries
106,Wang Xiangxi,Energy,"Mining, Crude-Oil Production",Beijing,https://www.shenhuagroup.com.cn,10,"338,472",China Energy Investment
107,Michael L. Tipsord,Financials,Insurance: Property and Casualty (Mutual),"Bloomington, Ill.",https://www.statefarm.com,25,"56,788",State Farm Insurance Cos.
108,Alex Gorsky,Health Care,Pharmaceuticals,"New Brunswick, N.J.",https://www.jnj.com,19,"135,100",Johnson & Johnson
109,Jean-Bernard Lévy,Energy,Utilities,Paris,https://www.edf.fr,25,"165,790",Electricité de France
110,Meng Zhenping,Energy,Utilities,"Guangzhou, China",https://www.csg.cn,15,"289,735",China Southern Power Grid
111,Tang Fuping,Materials,Metals,Beijing,https://www.minmetals.com,13,"199,442",China Minmetals
112,Eldar Saetre,Energy,Petroleum Refining,"Stavanger, Norway",https://www.equinor.com,25,"20,525",Equinor
113,Virginia M. Rometty,Technology,Information Technology Services,"Armonk, N.Y.",https://www.ibm.com,25,"381,100",International Business Machines
114,Martin Bruderm?ller,Chemicals,Chemicals,"Ludwigshafen, Germany",https://www.basf.com,25,"122,404",BASF
115,Kenichiro Yoshida,Technology,"Electronics, Electrical Equip.",Tokyo,https://www.sony.net,25,"114,400",Sony
116,Sanjiv Singh,Energy,Petroleum Refining,New Delhi,https://www.iocl.com,25,"35,442",Indian Oil
117,Motoya Okada,Food & Drug Stores,Food and Drug Stores,"Chiba, Japan",https://www.aeon.info,25,"288,326",AEON
118,Wang Wenyin,Materials,Metals,"Shenzhen, China",https://www.amer.com.cn,7,"16,901",Amer International Group
119,Lakshmi N. Mittal,Materials,Metals,Luxembourg,https://www.arcelormittal.com,15,"208,583",ArcelorMittal
120,Miao Jianmin,Financials,Insurance: Property and Casualty (Stock),Beijing,https://www.picc.com.cn,10,"198,457",People’s Insurance Co. of China
121,Brian C. Cornell,Retailing,General Merchandisers,Minneapolis,https://www.target.com,25,"360,000",Target
122,Guillaume Faury,Aerospace & Defense,Aerospace and Defense,"Leiden, Netherlands",https://www.airbus.com,25,"133,671",Airbus
123,Frank Appel,Transportation,"Mail, Package, and Freight Delivery","Bonn, Germany",https://www.dpdhl.com,25,"499,018",Deutsche Post DHL Group
124,Hiroshi Shimizu,Financials,"Insurance: Life, Health (Mutual)","Osaka, Japan",https://www.nissay.co.jp,25,"89,198",Nippon Life Insurance
125,Isabelle Kocher,Energy,Energy,"Courbevoie, France",https://www.engie.com,24,"160,301",Engie
126,Frans Muller,Food & Drug Stores,Food and Drug Stores,"Zaandam, Netherlands",https://www.aholddelhaize.com,25,"225,000",Royal Ahold Delhaize
127,David M. Brickman,Financials,Diversified Financials,"McLean, Va.",https://www.freddiemac.com,23,"6,621",Freddie Mac
128,Xu Heyi,Motor Vehicles & Parts,Motor Vehicles and Parts,Beijing,https://www.baicgroup.com.cn,7,"127,163",Beijing Automotive Group
129,Chansin Treenuchagron,Energy,Petroleum Refining,Bangkok,https://www.pttplc.com,16,"26,613",PTT
130,Kazuhiro Tsuga,Technology,"Electronics, Electrical Equip.","Osaka, Japan",https://www.panasonic.com/global,25,"271,869",Panasonic
131,David P. Abney,Transportation,"Mail, Package, and Freight Delivery",Atlanta,https://www.ups.com,25,"364,575",United Parcel Service
132,Marvin R. Ellison,Retailing,Specialty Retailers,"Mooresville, N.C.",https://www.lowes.com,22,"245,000",Lowe’s
133,Yu Xubo,Wholesalers,Trading,Beijing,https://www.cofco.com,25,"117,842",COFCO
134,Robert H. Swan,Technology,Semiconductors and Other Electronic Components,"Santa Clara, Calif.",https://www.intel.com,25,"107,400",Intel
135,Megan J. Brennan,Transportation,"Mail, Package, and Freight Delivery",Washington DC,https://www.usps.com,25,"565,802",U.S. Postal Service
136,Chang Zhenming,Financials,Diversified Financials,Beijing,https://www.group.citic,11,"287,500",CITIC Group
137,Hui Ka Yan,Financials,Real estate,"Shenzen, China",https://www.evergrande.com,4,"131,694",China Evergrande Group
138,Richard Qiangdong Liu,Retailing,Internet Services and Retailing,Beijing,https://www.jd.com,4,"178,927",JD.com
139,Jiao Kaihe,Aerospace & Defense,Aerospace and Defense,Beijing,https://www.norincogroup.com.cn,10,"210,507",China North Industries Group
140,Ke Ruiwen,Telecommunications,Telecommunications,Beijing,https://www.chinatelecom.com.cn,20,"403,014",China Telecommunications
141,Michel A. Khalaf,Financials,"Insurance: Life, Health (stock)",New York City,https://www.metlife.com,25,"48,000",MetLife
142,Thierry Bolloré,Motor Vehicles & Parts,Motor Vehicles and Parts,"Boulogne-Billancourt, France",https://www.groupe.renault.com,25,"183,002",Renault
143,Yang Xingqiang,Chemicals,Chemicals,Beijing,https://www.chemchina.com,9,"138,652",ChemChina
144,Joachim Wenning,Financials,Insurance: Property and Casualty (Stock),Munich,https://www.munichre.com,25,"41,410",Munich Re Group
