,ceo,value
11,Warren Buffett,"Born: August 30, 1930 (age 89 years), Omaha, NE', 'Net worth: 73.4 billion USD (2020)', 'Education: Columbia Business School (1950–1951), MORE', 'Spouse: Astrid Menks (m. 2006), Susan Buffett (m. 1952–2004)"
12,Jeff Bezos,"Net worth: 106.2 billion USD (2020) Trending', 'Born: January 12, 1964 (age 56 years), Albuquerque, NM', 'Height: 5′ 7″', 'Nationality: American', 'Children: 4', 'Education: Princeton University (1986), River Oaks Elementary School, Miami Palmetto Senior High School, University of Florida"
13,,
14,,
15,Ivan Glasenberg,"Born: January 1957 (age 63 years), Johannesburg, South Africa', 'Net worth: 2.9 billion USD (2020)', 'Spouse: Elana Glasenberg', 'Children: 2', 'Known for: CEO of Glencore', 'Education: Marshall Business School, USC, University of the Witwatersrand, Johannesburg, University of Southern California"
16,,
17,Ola Källenius,"Born: June 11, 1969 (age 50 years), Västervik, Sweden', 'Employer: Daimler AG', 'Education: University of St. Gallen, Stockholm School of Economics, Danderyds gymnasium"
18,Larry J. Merlo,"Born: 1956 (age 64 years), Pittsburgh, PA', 'Nationality: American', 'Spouse: Lee Ann Merlo', 'Education: University of Pittsburgh School of Pharmacy (1978)', 'Residence: Rhode Island"
19,Patrick Pouyanné,"Born: June 24, 1963 (age 56 years), Le Petit-Quevilly, France', 'Education: École Polytechnique"
20,,
21,Jeremy Weir,"Born: 1964 (age 56 years), Melbourne, Australia', 'Education: University of Melbourne', 'Predecessor: Claude Dauphin"
22,Terry Gou,"Born: October 18, 1950 (age 69 years), Banqiao District, Taipei, Taiwan', 'Nationality: Taiwanese', 'Net worth: 5.8 billion USD (2020)', 'Spouse: Delia Tseng (m. 2008), Serena Lin (m. 1974–2005)', 'Education: Taipei College of Maritime Technology (1966–1971), New Taipei Municipal Panchiao Senior High School', 'Children: Gou Shou-zheng, Gou Xiao-ling, Gou Shou-shan, Gou Xiao-ru"
23,John Elkann,"Born: April 1, 1976 (age 43 years), New York, NY', 'Spouse: Lavinia Borromeo (m. 2004)', 'Education: Polytechnic University of Turin', 'Siblings: Lapo Elkann, Ginevra Elkann, Anna de Pahlen, Maria de Pahlen, Pietro de Pahlen, Tatiana de Pahlen, Sofia de Pahlen', 'Children: Oceano Noah Elkann, Leone Mosé Elkann, Vita Talita Elkann', 'Parents: Alain Elkann, Margherita Agnelli"
24,Randall L. Stephenson,"Born: April 22, 1960 (age 59 years), Oklahoma City, OK', 'Nationality: American', 'Spouse: Lenise Stephenson', 'Children: 2', 'Residence: Dallas, TX', 'Education: The University of Oklahoma, University of Central Oklahoma"
25,,
26,Steven H. Collis,"Born: 1961 (age 59 years), South Africa', 'Education: University of the Witwatersrand, Johannesburg', 'Predecessor: R. David Yost"
27,Mike Wirth,"Born: 1960 (age 60 years)', 'Education: University of Colorado Boulder"
28,Ma Mingzhe,"Born: December 1955 (age 64 years), China', 'Education: Zhongnan University of Economics and Law', 'Organization founded: Ping An Insurance"
29,Jim Hackett,"Born: April 22, 1955 (age 64 years), Columbus, OH', 'Education: University of Michigan (1977)', 'Spouse: Kathy Hackett', 'Residence: Grand Rapids, Michigan, U.S', 'Children: 2"
30,Tian Guoli,Null
31,Mary T. Barra,"Born: December 24, 1961 (age 58 years), Waterford, MI', 'Nationality: American', 'Spouse: Anthony E. Barra', 'Education: Stanford Graduate School of Business (1988–1990), Kettering University, Mott High School', 'Children: Nicholas Barra, Rachel Barra', 'Parents: Ray Makela, Eva Makela"
32,,
33,Takahiro Hachigo,"Born: May 19, 1959 (age 60 years), Japan', 'Alma mater: Tokyo City University', 'Board member of: Honda Motor Company"
34,W. Craig Jelinek,"Born: August 8, 1952 (age 67 years), California', 'Nationality: American', 'Education: San Diego State University (1975)', 'Predecessor: James Sinegal"
35,Zhou Mubing,Null
36,Sundar Pichai,"Born: June 10, 1972 (age 47 years), Madurai, India', 'Spouse: Anjali Pichai', 'Education: Wharton School of the University of Pennsylvania, MORE', 'Children: Kiran Pichai, Kavya Pichai', 'Nationality: American, Indian', 'Parents: Regunatha Pichai, Lakshmi Pichai"
37,Michael C. Kaufmann,Null
38,Chen Zhixin,Born: 1959 (age 61 years)
39,Stefano Pessina,"Born: June 4, 1941 (age 78 years), Pescara, Italy', 'Net worth: 8.7 billion USD (2020)', 'Children: 2', 'Partner: Ornella Barra (1985–)', 'Board member of: Walgreens Boots Alliance', 'Education: University of Milan, Politecnico di Milano"
40,Jamie Dimon,"Born: March 13, 1956 (age 64 years), New York, NY', 'Nationality: American', 'Net worth: 1.2 billion USD (2020)', 'Spouse: Judith Kent (m. 1983)', 'Children: Julia Dimon, Kara Leigh Dimon, Laura Dimon', 'Education: Harvard Business School (1982), Tufts University, Browning School"
41,Alexey B. Miller,Null
42,,
43,Liu Liange,Null
44,Oliver Bäte,"Born: March 1, 1965 (age 55 years), Bergisch Gladbach, Germany', 'Education: University of Cologne (1988–1993), NYU Stern School of Business (1988–1993)"
45,Thomas Buberl,"Born: March 24, 1973 (age 46 years), Cologne, Germany', 'Education: WHU - Otto Beisheim School of Management, Lancaster University, University of St. Gallen"
46,Rodney McMullen,"Born: 1961 (age 59 years), Pineville, KY', 'Education: University of Kentucky', 'Predecessor: David Dillon', 'Board member of: Cincinnati Financial, Kroger"
47,H. Lawrence Culp Jr.,"Born: 1964 (age 56 years), Washington, D.C.', 'Nationality: American', 'Children: 3', 'Title: Chairman and CEO, General Electric', 'Predecessor: John L. Flannery', 'Education: Washington College, Harvard Business School"
48,Hugh R. Frater,Null
49,,
50,Wang Bin MD,"Address: 13347 Sanford Ave C1G, Flushing, NY 11355', 'Hours:\nOpen ⋅ Closes 8PM', 'Phone: (718) 886-7888"
51,Masatsugu Nagato,"Born: November 18, 1948 (age 71 years), Otaru, Hokkaido, Japan', 'Education: Hitotsubashi University', 'Predecessor: Taizo Nishimuro"
52,Harald Krüger,"Born: October 13, 1965 (age 54 years), Freiburg im Breisgau, Germany', 'Education: RWTH Aachen University (1991), MORE"
53,,
54,Zhang Zongyan,Null
55,,
56,Joseph W. Gorder,"Born: May 1957 (age 62 years)', 'Education: University of Missouri-St. Louis, Our Lady of the Lake School of Business"
57,Brian Moynihan,"Born: October 9, 1959 (age 60 years), Marietta, OH', 'Nationality: American', 'Spouse: Susan Berry', 'Children: 3', 'Education: Notre Dame Law School (1984), Brown University (1981), University of Notre Dame', 'Siblings: Kathryn Moynihan, Patrick Moynihan"
58,Chen Fenjian,Null
59,Satya Nadella,"Born: August 19, 1967 (age 52 years), Hyderabad, India', 'Title: CEO of Microsoft', 'Spouse: Anupama Nadella (m. 1992)', 'Education: University of Wisconsin-Milwaukee (1990), MORE', ""Books: Hit Refresh: The Quest to Rediscover Microsoft's Soul and Imagine a Better Future for Everyone"", 'Children: Zain Nadella, Tara Nadella, Divya Nadella"
60,Ren Zhengfei,"Born: October 25, 1944 (age 75 years), Zhenning Buyei and Miao Autonomous County, Anshun, China', 'Nationality: Chinese', 'Net worth: 1.3 billion USD (2020)', 'Spouse: Yao Ling', 'Education: Chongqing University', 'Children: Meng Wanzhou, Annabel Yao, Ren Ping"
61,Craig Menear,"Born: 1958 (age 62 years), Flint, MI', 'Nationality: American', 'Education: Central High School, Michigan State University"
62,,
63,Jun Sawada,"Born: July 30, 1955 (age 64 years)', 'Predecessor: Hiroo Unoura"
64,Masahiro Okafuji,Null
65,Hiroto Saikawa,"Born: November 14, 1953 (age 66 years), Japan"
66,Zheng Zhijie,"Born: May 1958 (age 61 years)', 'Education: Dongbei University of Finance and Economics', 'Party: Communist Party of China"
67,Dave Calhoun,"Born: April 18, 1957 (age 62 years), Philadelphia, PA', 'Nationality: American', ""Books: How Companies Win: Profiting from Demand-Driven Business Models No Matter What Business You're In"", 'Education: Orefield Middle School, Pamplin College of Business, Virginia Polytechnic Institute and State University', ""Albums: Salmon Chanted Harbor, Day Drinkin', Momentary Mutiny"", 'Children: Corey Calhoun, Amy Calhoun, Devon Calhoun, Jessica Calhoun"
68,Charles W. Scharf,"Born: 1965 (age 55 years)', 'Nationality: American', 'Organization: Visa U.S.A', 'Education: New York University, Johns Hopkins University"
69,Joe Kaeser,"Born: June 23, 1957 (age 62 years), Arnbruck, Germany', 'Spouse: Rosemarie Kaeser', 'Education: Ostbayerische Technische Hochschule (OTH) Regensburg"
70,Michael Corbat,"Born: May 2, 1960 (age 59 years), Bristol, CT', 'Nationality: American', 'Spouse: Donna Corbat', 'Education: Harvard University (1983)"
71,Gary R. Heminger,"Born: Tiffin, OH', 'Education: University of Dayton (1982), Tiffin University (1976)"
72,Tae-Won Chey/Dong-Hyun Jang,Null
73,Roberto da Cunha Castello Branco,Null
74,Brian L. Roberts,"Born: June 28, 1959 (age 60 years), Philadelphia, PA', 'Nationality: American', 'Net worth: 1.6 billion USD (2020)', 'Spouse: Aileen Roberts', 'Children: Sarah Roberts, Tucker Roberts', 'Education: Wharton School of the University of Pennsylvania, University of Pennsylvania, Germantown Academy"
75,Ulf Mark Schneider,"Born: September 9, 1965 (age 54 years), Neuwied, Germany', 'Nationality: German', 'Citizenship: German and American', 'Predecessor: Paul Bulcke', 'Education: Harvard Business School, University of St. Gallen"
76,Volkmar Denner,"Born: November 30, 1956 (age 63 years), Uhingen, Germany', 'Education: University of Stuttgart (1985), University of Stuttgart (1981)', 'Appointed by: Angela Merkel"
77,Andreas Schierenbeck,Null
78,Gail Koziara Boudreaux,"Born: 1960 (age 60 years)', 'Spouse: Terry Boudreaux (m. 1989)', 'Children: 2 sons', 'Education: Chicopee Comprehensv High Sch, Columbia University, Columbia Business School, Dartmouth College"
79,Wang Xiangming,Null
80,Alexandre Bompard,"Born: October 4, 1972 (age 47 years), Saint-Étienne, France', 'Spouse: Charlotte Bompard', 'Predecessor: Georges Plassat', 'Board member of: Fnac', ""Education: École Nationale d'Administration (1997–1999), Sciences Po"""
81,Li Shaozhu,Null
82,Claudio Descalzi,"Born: 1955 (age 65 years), Milan, Italy', 'Education: University of Milan"
83,Michael S. Dell,"Born: February 23, 1965 (age 55 years), Houston, TX', 'Net worth: US$31.2 billion (October 2019)', 'Spouse: Susan Dell (m. 1989)', 'Education: Memorial Senior High School, The University of Texas at Austin, Herod Elementary School', 'Children: Alexa Dell, Kira Dell, Juliette Dell, Zachary Dell"
84,José Antonio Alvarez (José Antonio ...,"Born: January 6, 1960 (age 60 years), León, Spain', 'Predecessor: Javier Marín"
85,Igor Sechin,"Born: September 7, 1960 (age 59 years), Russian Soviet Federative Socialist Republic', 'Height: 5′ 9″', 'Spouse: Olga Rozhkova (m. 2011–2017)', 'Education: Saint Petersburg State University', 'Nationality: Russian, Soviet', 'Children: Inga Sechina, Ivan Sechin"
86,Xu Liuping,Null
87,Ning Gaoning,"Born: November 9, 1958 (age 61 years), Binzhou, China', 'Education: Joseph M. Katz Graduate School of Business, Shandong University, University of Pittsburgh"
88,Francesco Starace,"Born: 1955 (age 65 years), Rome, Italy', 'Education: Politecnico di Milano"
89,Timotheus Höttges,"Born: September 18, 1962 (age 57 years), Solingen, Germany', 'Education: University of Cologne"
90,Philippe Brassac,"Born: August 31, 1959 (age 60 years), Nîmes, France', 'Education: ENSAE Paris', 'Predecessor: Jean-Paul Chifflet"
91,Philippe Donnet,"Born: July 26, 1960 (age 59 years), Suresnes, France', 'Education: École Polytechnique"
92,Liu Qitao,Null
93,Won-Hee Lee /Mong-Koo Chung,Null
94,Octavio Romero Oropeza,"Born: January 20, 1959 (age 61 years), Jalapa"
95,Carlos Tavares,"Born: August 14, 1958 (age 61 years), Lisbon, Portugal', 'Nationality: Portuguese', 'Education: École Centrale Paris (1981)"
96,Yan Hao,Null
97,Masayoshi Son,"Born: August 11, 1957 (age 62 years), Tosu, Saga, Japan', 'Nationality: Japanese', 'Net worth: 19.3 billion USD (2020)', 'Children: 2', 'Spouse: Masami Ohno (m. 1979)', 'Education: University of California, Berkeley (1980), MORE"
98,John Flint,"Born: June 1968 (age 51 years), Yorkshire, United Kingdom', 'Children: 2', 'Successor: Noel Quinn', 'Predecessor: Stuart Gulliver', 'Title: CEO, HSBC', 'Education: University of Portsmouth, Giggleswick School"
99,C. Marc Doyle,Null
100,Liu Aili,Null
101,Toshiaki Higashihara,Null
102,,
103,Jean-Laurent Bonnafé,"Born: July 14, 1961 (age 58 years), Clichy, France', 'Education: École Polytechnique, Mines ParisTech, Lycée Louis-le-Grand"
104,Tsutomu Sugimori,Null
105,,
106,Wang Xiangxi,Null
107,Michael L. Tipsord,"Born: 1959 (age 61 years), Illinois', 'Education: Illinois Wesleyan University (1981), University of Illinois at Urbana-Champaign"
108,Alex Gorsky,"Born: May 24, 1960 (age 59 years), Kansas City, KS', 'Nationality: American', 'Salary: US$ 20.1 million (2018); US$ 29.8 million (2017)', 'Education: Wharton School of the University of Pennsylvania, United States Military Academy', 'Children: Nicholas Gorsky', 'Parents: Albert Gorsky, Loretta Gorsky"
109,Jean-Bernard Lévy,"Born: March 18, 1955 (age 64 years), Suresnes, France', 'Education: École Polytechnique, Télécom Paris', 'Parents: Monique Herzog, Claude Lévy"
110,Meng Zhenping,Null
111,Tang Fuping,Null
112,Eldar Sætre,"Born: February 8, 1956 (age 64 years), Vartdal, Norway', 'Education: NHH Norwegian School of Economics', 'Siblings: Oddrun Godø"
113,Ginni Rometty,"Born: July 29, 1957 (age 62 years), Chicago, IL', 'Full name: Virginia Marie Rometty', 'Spouse: Mark Anthony Rometty', 'Successor: Arvind Krishna', 'Education: Northwestern University, Robert R. McCormick School of Engineering and Applied Science at Northwestern', 'Siblings: Joe Nicosia"
114,Martin Brudermüller,"Born: May 5, 1961 (age 58 years), Stuttgart, Germany', 'Education: Karlsruhe Institute of Technology', 'Predecessor: Kurt Bock', 'Term: 2018"
115,Kenichirō Yoshida,"Born: October 1959 (age 60 years), Kumamoto, Japan', 'Nationality: Japanese"
116,Sanjiv Singh,Null
117,Motoya Okada,"Born: June 17, 1951 (age 68 years), Yokkaichi, Mie, Japan', 'Education: Babson College', 'Parents: Takuya Okada', 'Siblings: Katsuya Okada"
118,Wang Wenyin,"Born: 1968 (age 52 years), Anhui, China', 'Net worth: US$16.0 billion (June 2015)', 'Education: Anhui Qianshan Yezhai Middle School, Nanjing University', 'Organization founded: Amer International Group"
119,Lakshmi Mittal,"Born: June 15, 1950 (age 69 years), Sadulpur, India', 'Nationality: Indian', 'Net worth: 8.4 billion USD (2020)', 'Spouse: Usha Mittal', ""Education: St. Xavier's College, Kolkata"", 'Children: Aditya Mittal, Vanisha Mittal"
120,Miao Jianmin,Null
121,Brian Cornell,"Born: 1958 (age 62 years), Queens, New York, NY', 'Spouse: Martha Cornell', 'Known for: Chairman & CEO of Target', 'Education: UCLA Anderson School of Management, University of California, Los Angeles', 'Children: Megan Cornell, Jonathan Cornell', 'Board member of: Yum! Brands, Retail Industry Leaders Association (Chairman)"
122,Guillaume Faury,"Born: February 22, 1968 (age 52 years), Cherbourg-Octeville, Cherbourg-en-Cotentin, France', ""Education: Institut supérieur de l'aéronautique et de l'espace, École nationale supérieure de l'aéronautique et de l'espace"""
123,Frank Appel,"Born: July 29, 1961 (age 58 years), Hamburg, Germany', 'Predecessor: Klaus Zumwinkel', 'Education: ETH Zürich (2001), Ludwig Maximilian University of Munich"
124,Hiroshi Shimizu,"Born: March 28, 1903', 'Died: June 23, 1966, Ukyo Ward, Kyoto, Japan', 'Education: Hokkaido University', 'Other name: Takahiko Minamoto, Umihiko Yuhara', 'Books: Japan and Singapore in the world economy"
125,Isabelle Kocher,"Born: December 9, 1966 (age 53 years), Neuilly-sur-Seine, France', 'Spouse: Laurent Kocher (m. 1989)', 'Children: 5', 'Education: École Normale Supérieure (1987), Mines ParisTech"
126,Frans Muller,"Education: Erasmus University Rotterdam', 'Predecessor: Dick Boer"
127,Brickman David M CPA,"Address: 270 Madison Ave # 1500, New York, NY 10016', 'Phone: (212) 687-7215"
128,Xu Heyi,Null
129,Chansin Treenuchagron,Null
130,Kazuhiro Tsuga,"Born: November 14, 1956 (age 63 years), Osaka, Osaka, Japan', 'Predecessor: Fumio Ōtsubo', 'Employer: Panasonic', 'Title: President', 'Education: University of California, Santa Barbara (1986), Osaka University (1979)"
131,David P. Abney,"Born: 1956 (age 64 years), Greenwood, MS', 'Spouse: Sherry Abney', 'Education: Delta State University, Pillow Academy"
132,Marvin Ellison,"Born: 1966 (age 54 years)', 'Nationality: American', 'Spouse: Sharyn Ellison', 'Profession: Musician', ""Education: Haywood High School, Emory University, Emory University's Goizueta Business School, University of Memphis"", 'Children: Donavan Ellison"
133,Yu Xubo,Null
134,Bob Swan,"Born: May 9, 1960 (age 59 years), Syracuse, NY', 'Children: 2', 'Employer: Intel', 'Board member of: Intel Corporation, eBay', 'Predecessor: Brian Krzanich', 'Education: Corcoran High School, Binghamton University, University at Buffalo School of Management"
135,Megan Brennan,"Born: 1961 (age 59 years), Pottsville, PA', 'Office: United States Postmaster General since 2015', 'Party: Democratic Party', 'Education: MIT Sloan School of Management, Nativity BVM High School, Immaculata University"
136,Chang Zhenming,"Born: October 1956 (age 63 years), China', 'Parents: Chang Dong', 'Education: Tsinghua University High School, Beijing International Studies University, カレッジ・オブ・インシュアランス"
137,Xu Jiayin,"Born: October 9, 1958 (age 61 years), Taikang County, Zhoukou, China', 'Nationality: Chinese', 'Net worth: 25.7 billion USD (2020)', 'Spouse: Ding Yumei (m. 1983)', 'Education: Wuhan University of Science and Technology', 'Children: Xu Xihao, Xu Zhijian"
138,Liu Qiangdong,"Born: Lailongzhen, Suqian, China', 'Height: 5′ 10″', 'Spouse: Zhang Zetian (m. 2015)', 'Net worth: 8.4 billion USD (2020)', 'Education: China Europe International Business School, Renmin University of China', 'Parents: Wang Shaoxia, Liu Zhicheng"
139,Jiao Kaihe,Null
140,Ke Ruiwen,Null
141,Michel A. Khalaf,Null
142,Thierry Bolloré,"Born: May 30, 1963 (age 56 years), France', 'Education: Master of Business Administration, Paris Dauphine University', 'Parents: Yves Henri Bolloré, Jacqueline Martin"
143,Yang Xingqiang,Null
144,Joachim Wenning,Null
145,David S. Taylor,"Born: April 20, 1958 (age 61 years), Charlotte, NC', 'Education: Duke University (1980), West Charlotte High School"
146,Masumi Kakinoki,Null
147,Gregory J. Hayes,"Born: United States', 'Education: Krannert School of Management', 'Predecessor: Louis R. Chênevert"
148,,
149,Ren Deqi,Null
150,Luo Ronghuai,Null
151,Frederick W. Smith,"Born: August 11, 1944 (age 75 years), Marks, MS', 'Net worth: US $5.4 billion (December 2017)', 'Children: Cannon Smith, Molly Smith, Windland Smith Rice, Richard Smith, Arthur Smith', 'Education: Yale University (1962–1966), Memphis University School, Presbyterian Day School', 'Spouse: Linda Black Grisham (m. 1969–1977), Diane Smith', 'Grandchildren: Alden James Rice, Mason Frederick Rice"
152,,
153,,
154,Juan Ricardo Luciano,"Born: 1962 (age 58 years), Argentina', 'Nationality: Argentine', 'Education: Instituto Tecnológico de Buenos Aires"
155,Charles F. Lowrey,Null
156,Tatsuo Yasunaga,Null
157,Wan Zulkiflee,"Born: 1961 (age 59 years), Malaysia', 'Education: Malay College Kuala Kangsar', 'Predecessor: Shamsul Azhar Abbas', 'Title: CEO and president, Petronas"
158,Ryuichi Isaka,Null
159,,
160,Yan Zhiyong,Null
161,,
162,Severin Schwan,"Born: November 17, 1967 (age 52 years), Austria', 'Education: University of York, University of Innsbruck"
163,Edgard Bonte,Null
164,,
165,Mike Kanetsugu,Null
166,,
167,,
168,She Lulin,Null
169,Robert Allen Iger,"Born: February 10, 1951 (age 69 years), New York, NY', 'Books: The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company, The Ride of a Lifetime', 'Spouse: Willow Bay (m. 1995), Susan Iger (m. ?–1994)', 'Children: Kate Iger, Robert Maxwell Iger, William Iger, Amanda Iger', 'Education: Ithaca College (1973), Oceanside High School, Roy H. Park School of Communications, The Center for Early Education"
170,,
171,Kevin P. Hourican,Null
172,Enrique J. Lores,Null
173,Frédéric Oudéa,"Born: July 3, 1963 (age 56 years), Paris, France', 'Children: 5', 'Spouse: Amélie Oudéa-Castéra (m. 2006)', ""Education: Lycée Louis-le-Grand, Sciences Po, École Nationale d'Administration, École Polytechnique"""
174,Nicke Widyawati,Null
175,José María Álvarez-Pallete López (José María Álvarez-Pallete),"Born: December 12, 1963 (age 56 years), Madrid, Spain', 'Spouse: Cuqui Samaniego"
176,Mo Bin,Null
177,Tomoaki Kobayakawa,Null
178,Bruce D. Broussard,"Born: 1963 (age 57 years)', 'Spouse: Janine Broussard"
179,Bruce Flatt,"Born: 1965 (age 55 years), Winnipeg, Canada', 'Net worth: 1.9 billion USD (2020)', 'Siblings: Gordon Flatt"
180,Chen Jianhua,"Born: March 1956 (age 64 years), Lufeng, Guangdong, Shanwei, China', 'Education: Nanjing Normal University', 'Party: Communist Party of China', 'Residence: Guangzhou, China"
181,Daniel Zhang,"Born: 1972 (age 48 years), Shanghai, China', 'Nationality: Chinese', 'Education: Shanghai University of Finance and Economics"
182,Rolf Martin Schmitz,"Born: June 17, 1957 (age 62 years), Mönchengladbach, Germany', 'Education: RWTH Aachen University"
183,Mark Zuckerberg,"Net worth: 57.4 billion USD (2020) Trending', 'Born: May 14, 1984 (age 35 years), White Plains, NY', 'Height: 5′ 7″', 'Spouse: Priscilla Chan (m. 2012)', 'Education: Harvard University (2002–2004), MORE', 'Children: Maxima Chan Zuckerberg, August Chan Zuckerberg"
184,,
185,,
186,Sidney Toledano,"Born: July 25, 1951 (age 68 years), Casablanca, Morocco', 'Spouse: Katia Assous (m. 1981)', 'Parents: Boris Toledano, Inès Benezra', 'Nationality: French, Moroccan"
187,,
188,,
189,Jim Umpleby,"Born: 1958 (age 62 years), Highland, IN', 'Spouse(s): Katherine Umpleby', 'Employer: Caterpillar Inc.', 'Predecessor: Douglas R. Oberhelman', 'Children: 2 children', 'Education: Rose-Hulman Institute of Technology (1980), Highland High School"
190,Candido Botelho Bracher,"Born: December 5, 1958 (age 61 years), State of São Paulo, Brazil', 'Education: Escola de Administração de Empresas de São Paulo (1980), Santa Cruz School"
191,Carlos Brito,"Born: 1960 (age 60 years), Rio de Janeiro, State of Rio de Janeiro, Brazil', 'Nationality: Brazilian', 'Spouse(s): Belinda Brito', 'Children: Louise Brito, Kevin Brito, Mark Brito, Christine Brito', 'Education: Stanford Graduate School of Business, Universidade Federal do Rio de Janeiro"
192,,
193,Kelcy Warren,"Born: 1955 (age 65 years), Gladewater, TX', 'Net worth: 2.6 billion USD (2020)', 'Spouse: Amy Warren (m. 2010), Sherry Johnson (m. 1980–1991)', 'Children: Klyde Warren', 'Education: White Oak High School, The University of Texas at Arlington', 'Parents: Bertie Lee Kirby, Hugh Brinson Warren"
194,Robert G. Scott,Null
195,Daniel Hajj Aboumrad,"Born: 1966 (age 54 years), Mexico City, Mexico"
196,Marillyn Hewson,"Born: 1954 (age 66 years), Junction City, KS', 'Spouse: James Hewson', 'Predecessor: Robert J. Stevens', 'Education: Columbia Business School, The University of Alabama, Harvard Business School', 'Children: Will Hewson, David Hewson', 'Parents: Mary Adams, Warren Adams"
197,Albert Bourla,"Born: 1962 (age 58 years)', 'Nationality: Greek"
198,,
199,Josu Jon Imaz,"Born: September 6, 1963 (age 56 years), Zumarraga, Spain', 'Education: Campus De Bizkaia - Campus of Biscay', 'Employer: Repsol"
200,Vasant Narasimhan,"Born: 1976 (age 44 years), Moorestown, NJ', 'Nationality: American', 'Spouse: Srishi Gupta (m. 2003)', 'Education: Harvard University, Harvard Kennedy School, Harvard Medical School, The University of Chicago', 'Parents: Kalathur Narasimhan, Gita Narasimhan"
201,,
202,Song Zhiping,Null
203,David M. Solomon,"Born: 1962 (age 58 years), Hartsdale, NY', 'Full name: David Michael Solomon', 'Spouse: Mary Solomon (m. 1989)', 'Education: Hamilton College, Edgemont Jr./Sr. High School', 'Parents: Sandra Solomon, Alan Solomon"
204,Elmar Degenhart,"Born: January 29, 1959 (age 61 years), Dossenheim, Germany', 'Education: University of Stuttgart', 'Predecessor: Karl-Thomas Neumann"
205,Xavier Huillard,"Born: June 27, 1954 (age 65 years), Paris, France', 'Education: École des ponts ParisTech, École Polytechnique"
206,Didier Lévêque,Null
207,,
208,,
209,Brian P. Hannasch,Null
210,Li Weimin,Null
211,Yang Yuanqing,"Born: November 12, 1964 (age 55 years), Hefei, China', 'Nationality: Chinese', 'Net worth: US$1.25 billion (September 2015)', 'Parent(s): Yang Furong', 'Education: Shanghai Jiao Tong University, University of Science and Technology of China"
212,Tao Yiping,Null
213,Yu Yong MD,"Address: 13620 38th Ave # 8C, Flushing, NY 11354', 'Phone: (718) 886-6995"
214,Guido Kerkhoff,"Born: November 22, 1967 (age 52 years), Schüttorf, Germany', 'Education: Bielefeld University"
215,Gao Guofu,Null
216,,
217,James P. Gorman,"Born: July 14, 1958 (age 61 years), Melbourne, Australia', 'Spouse: Pendleton Dedman', 'Education: Columbia Business School, Newman College, University of Melbourne, Columbia University, Xavier College', ""Children: Caroline D'Arcy Gorman, Caroline Gorman"", 'Siblings: Katherine Williams', 'Nationality: American, Australian"
218,Gilberto Tomazoni,Null
219,Li Shufu,"Born: June 25, 1963 (age 56 years), Taizhou, China', 'Spouse: Li Wang', 'Net worth: 13.4 billion USD (2020)', 'Board member of: Geely', 'Education: Hubei University of Economics, Yanshan University, Harbin University of Science and Technology', 'Organizations founded: Geely, Geely Auto"
220,Octavio de Lazari,Null
221,Yasuyoshi Karasawa,Null
222,Laurent Mignon,Null
223,Tsuyoshi Nagano,"Born: 1961 (age 59 years), Tokyo, Japan"
224,Chuck Robbins,"Born: Grayson, GA', 'Spouse(s): Married', 'Children: 4', 'Education: University of North Carolina at Chapel Hill (1983–1987), Rocky Mt High School"
225,Pierre-André de Chalendar,"Born: April 12, 1958 (age 61 years), Vichy, France', 'Spouse(s): Leticia Petrie (m. 1989)', 'Children: 4', ""Education: École Nationale d'Administration, MORE"""
