,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company,year
127,"$63,629","$1,477.3","$59,767","$12,829",2.3%,2.5%,11.5%,JXTG Holdings,2017
128,"$63,476",$800,"$898,764","$67,309",1.3%,0.1%,1.2%,MetLife,2017
129,"$63,324",$141.7,"$34,713","$3,465",0.2%,0.4%,4.1%,Tewoo Group,2017
130,"$63,155","$2,271","$69,146","$17,881",3.6%,3.3%,12.7%,Aetna,2017
131,"$62,799","$6,329","$74,129","$11,095",10.1%,8.5%,57%,PepsiCo,2017
132,"$62,694","$-1,619","$131,349","$55,934",-2.6%,-1.2%,-2.9%,ENI,2017
133,"$62,387","$1,764.6","$115,819","$50,919",2.8%,1.5%,3.5%,China Telecommunications,2017
134,"$62,346","$1,279","$39,769","$17,173",2.1%,3.2%,7.4%,Archer Daniels Midland,2017
135,"$61,326",$853,"$53,140","$13,401",1.4%,1.6%,6.4%,China North Industries Group,2017
136,"$61,265",$204.5,"$72,072","$11,029",0.3%,0.3%,1.9%,COFCO,2017
137,"$61,130","$1,260.6","$57,783","$8,037",2.1%,2.2%,15.7%,Beijing Automotive Group,2017
138,"$60,906","$3,431","$40,377",$405,5.6%,8.5%,847.2%,UPS,2017
139,"$60,800","$3,883.9","$430,040","$20,372",6.4%,0.9%,19.1%,Anbang Insurance Group,2017
140,"$59,749","$1,913.1","$47,620","$13,348",3.2%,4%,14.3%,Peugeot,2017
141,"$59,678",$-373.3,"$23,755","$1,371",-0.6%,-1.6%,-27.2%,Albertsons Cos.,2017
142,"$59,590","$2,134.5","$466,617","$11,675",3.6%,0.5%,18.3%,Dai-ichi Life Holdings,2017
143,"$59,533",$468,"$57,484","$9,195",0.8%,0.8%,5.1%,Sinochem Group,2017
144,"$59,387","$10,316","$113,327","$66,226",17.4%,9.1%,15.6%,Intel,2017
145,"$59,303","$4,063.5","$141,402","$44,137",6.9%,2.9%,9.2%,Mitsubishi,2017
146,"$58,862",$652.4,"$38,537","$10,593",1.1%,1.7%,6.2%,Auchan Holding,2017
147,"$58,789",$483.3,"$448,666","$25,647",0.8%,0.1%,1.9%,Aegon,2017
148,"$58,779","$4,368","$783,962","$45,863",7.4%,0.6%,9.5%,Prudential Financial,2017
149,"$58,611","$-6,904","$165,420","$77,211",-11.8%,-4.2%,-8.9%,Vodafone Group,2017
150,"$58,292","$5,732.7","$59,512","$17,247",9.8%,9.6%,33.2%,Unilever,2017
151,"$58,093","$2,013.8","$426,416","$26,551",3.5%,0.5%,7.6%,Banco do Brasil,2017
152,"$57,774","$-10,256.3","$113,115","$-59,909",-17.8%,-9.1%,-,Pemex,2017
153,"$57,544","$2,619.7","$130,396","$19,149",4.6%,2%,13.7%,Telefonica,2017
154,"$57,443","$5,127.9","$366,418","$32,369",8.9%,1.4%,15.8%,Banco Bradesco,2017
155,"$57,244","$5,055","$89,706","$27,579",8.8%,5.6%,18.3%,United Technologies,2017
156,"$56,791","$1,779","$75,142","$30,135",3.1%,2.4%,5.9%,ArcelorMittal,2017
157,"$56,667","$3,780.9","$107,681","$32,423",6.7%,3.5%,11.7%,Renault,2017
158,"$56,553","$2,705.1","$180,756","$54,227",4.8%,1.5%,5%,Rosneft Oil,2017
159,"$56,174","$1,217.2","$31,641","$9,438",2.2%,3.8%,12.9%,Shandong Weiqiao Pioneering Group,2017
160,"$55,858","$1,174","$44,413","$13,557",2.1%,2.6%,8.7%,Marathon Petroleum,2017
161,"$55,632","$9,391","$92,033","$43,265",16.9%,10.2%,21.7%,Disney,2017
162,"$55,306",$464.2,"$124,892","$24,345",0.8%,0.4%,1.9%,Aviation Industry Corp. of China,2017
163,"$55,282","$5,501.6","$888,226","$49,839",10%,0.6%,11%,ING Group,2017
164,"$55,185","$8,550.1","$2,722,354","$110,573",15.5%,0.3%,7.7%,Mitsubishi UFJ Financial Group,2017
165,"$54,955",$917.9,"$38,257","$17,165",1.7%,2.4%,5.3%,Royal Ahold Delhaize,2017
166,"$54,379",$614,"$25,396","$10,685",1.1%,2.4%,5.7%,Humana,2017
167,"$53,858",$892.9,"$49,244","$20,086",1.7%,1.8%,4.4%,Seven & I Holdings,2017
168,"$53,562","$2,960","$42,132","$15,724",5.5%,7%,18.8%,Indian Oil,2017
169,"$53,427","$9,719.9","$75,609","$23,534",18.2%,12.9%,41.3%,Roche Group,2017
170,"$53,035",$278.9,"$173,095","$14,096",0.5%,0.2%,2%,HNA Group,2017
171,"$52,990","$10,116.9","$1,209,176","$90,531",19.1%,0.8%,11.2%,Bank of Communications,2017
172,"$52,852","$3,236.3","$938,261","$41,784",6.1%,0.3%,7.7%,CITIC Group,2017
173,"$52,824","$7,215","$171,615","$59,544",13.7%,4.2%,12.1%,Pfizer,2017
174,"$52,569","$5,010.6","$86,731","$31,990",9.5%,5.8%,15.7%,Bayer,2017
175,"$52,367",$-849,"$498,264","$76,300",-1.6%,-0.2%,-1.1%,AIG,2017
176,"$52,201",$462.9,"$73,555","$10,143",0.9%,0.6%,4.6%,America Movil,2017
177,"$51,500","$6,074.1","$147,265","$59,394",11.8%,4.1%,10.2%,Korea Electric Power,2017
178,"$50,658","$5,302","$47,806","$1,511",10.5%,11.1%,350.9%,Lockheed Martin,2017
179,"$50,367",$949.6,"$16,722","$3,480",1.9%,5.7%,27.3%,Sysco,2017
180,"$50,365","$1,820","$46,064","$13,784",3.6%,4%,13.2%,FedEx,2017
181,"$50,123","$3,161","$79,679","$31,448",6.3%,4%,10.1%,Hewlett Packard Enterprise,2017
182,"$49,838",$305,"$19,843","$5,115",0.6%,1.5%,6%,Louis Dreyfus Company,2017
183,"$49,677","$1,199.9","$18,405","$10,005",2.4%,6.5%,12%,Amer International Group,2017
184,"$49,479","$4,092.9","$134,528","$84,800",8.3%,3%,4.8%,Petronas,2017
185,"$49,446","$1,225.7","$110,202","$20,905",2.5%,1.1%,5.9%,Tokyo Electric Power,2017
186,"$49,436","$6,712","$130,124","$74,832",13.6%,5.2%,9%,Novartis,2017
187,"$49,247","$10,739","$121,652","$63,586",21.8%,8.8%,16.9%,Cisco Systems,2017
188,"$49,239","$1,942.2","$190,596","$12,793",3.9%,1%,15.2%,MS&AD Insurance Group Holdings,2017
189,"$48,876","$-1,550.4","$1,677,437","$63,102",-3.2%,-0.1%,-2.5%,Deutsche Bank,2017
190,"$48,869","$1,057.6","$86,687","$9,990",2.2%,1.2%,10.6%,PowerChina,2017
191,"$48,825",$107.7,"$31,605","$7,307",0.2%,0.3%,1.5%,JBS,2017
192,"$48,719","$2,681.6","$62,349","$21,309",5.5%,4.3%,12.6%,PTT,2017
193,"$48,292","$2,527.4","$202,923","$16,474",5.2%,1.2%,15.3%,Tokio Marine Holdings,2017
194,"$48,238","$2,496","$29,010","$-3,889",5.2%,8.6%,-,HP,2017
195,"$48,204","$-6,249.1","$80,576","$3,898",-13%,-7.8%,-160.3%,RWE,2017
196,"$48,158","$4,318","$79,511","$25,987",9%,5.4%,16.6%,Dow Chemical,2017
197,"$48,154",$687.8,"$46,270",$744,1.4%,1.5%,92.5%,Finatis,2017
198,"$48,003",$296.1,"$30,358","$17,083",0.6%,1%,1.7%,Wesfarmers,2017
199,"$47,810",$504,"$36,767","$5,658",1.1%,1.4%,8.9%,Sinopharm,2017
200,"$47,804","$1,327.3","$442,027","$18,491",2.8%,0.3%,7.2%,CNP Assurances,2017
201,"$47,712",$66.2,"$31,348","$9,926",0.1%,0.2%,0.7%,LG Electronics,2017
202,"$47,375","$6,520.5","$1,775,349","$72,876",13.8%,0.4%,8.9%,Sumitomo Mitsui Financial Group,2017
203,"$46,931","$4,458.9","$108,856","$40,614",9.5%,4.1%,11%,Reliance Industries,2017
204,"$46,606",$442.8,"$106,725","$35,728",1%,0.4%,1.2%,China Baowu Steel Group,2017
205,"$46,528",$8.7,"$12,285","$3,974",-,0.1%,0.2%,Noble Group,2017
206,"$45,905","$1,241","$258,381","$71,339",2.7%,0.5%,1.7%,Anheuser-Busch InBev,2017
207,"$45,873","$-2,902","$104,530","$35,072",-6.3%,-2.8%,-8.3%,Statoil,2017
208,"$45,621","$1,167.5","$66,361","$35,057",2.6%,1.8%,3.3%,POSCO,2017
209,"$45,425","$2,373.8","$42,141","$22,010",5.2%,5.6%,10.8%,Kia Motors,2017
210,"$45,249","$3,245.7","$99,840","$32,365",7.2%,3.3%,10%,Orange,2017
211,"$45,177",$17.9,"$54,341","$3,462",-,-,0.5%,ChemChina,2017
212,"$44,850",$768.6,"$59,716","$13,246",1.7%,1.3%,5.8%,Deutsche Bahn,2017
213,"$44,842","$3,099.1","$38,151","$15,050",6.9%,8.1%,20.6%,Continental,2017
214,"$44,747","$2,890","$33,758","$-7,302",6.5%,8.6%,-,HCA Holdings,2017
215,"$44,654","$3,250.6","$72,902","$21,559",7.3%,4.5%,15.1%,Itochu,2017
216,"$44,552","$9,344.8","$855,070","$57,896",21%,1.1%,16.1%,China Merchants Bank,2017
217,"$44,533",$36,"$530,590","$33,450",0.1%,-,0.1%,State Bank of India,2017
218,"$43,925",$-898.3,"$17,495","$6,305",-2%,-5.1%,-14.2%,Woolworths,2017
219,"$43,822","$5,045.1","$56,223","$31,904",11.5%,9%,15.8%,KDDI,2017
220,"$43,786","$3,558","$215,065","$35,634",8.1%,1.7%,10%,Swiss Re,2017
221,"$43,769",$-146.8,"$51,858","$7,693",-0.3%,-0.3%,-1.9%,HBIS Group,2017
222,"$43,743",$740.9,"$22,578","$3,916",1.7%,3.3%,18.9%,CEFC China Energy,2017
223,"$43,698","$3,842.8","$771,837","$49,952",8.8%,0.5%,7.7%,Banco Bilbao Vizcaya Argentaria,2017
224,"$43,589",$328.6,"$39,411","$2,362",0.8%,0.8%,13.9%,ThyssenKrupp,2017
225,"$43,231","$1,449.8","$46,158","$19,790",3.4%,3.1%,7.3%,Saint-Gobain,2017
226,"$43,035",$535.1,"$27,186","$3,224",1.2%,2%,16.6%,Lenovo Group,2017
227,"$42,771","$2,770.1","$71,642","$17,365",6.5%,3.9%,16%,Vinci,2017
228,"$42,757","$1,208.5","$65,182","$23,555",2.8%,1.9%,5.1%,Nippon Steel & Sumitomo Metal,2017
229,"$42,679",$745,"$19,188","$7,144",1.7%,3.9%,10.4%,Bunge,2017
230,"$42,622","$8,105.9","$875,731","$50,382",19%,0.9%,16.1%,Industrial Bank,2017
231,"$42,213","$-9,344.4","$67,179","$-1,113",-22.1%,-13.9%,-,E.ON,2017
232,"$42,159","$8,078","$415,730","$46,182",19.2%,1.9%,17.5%,Sberbank,2017
233,"$42,149",$485.8,"$69,621","$17,789",1.2%,0.7%,2.7%,China Shipbuilding Industry,2017
234,"$42,113","$1,740.3","$69,870","$12,293",4.1%,2.5%,14.2%,Christian Dior,2017
235,"$41,863","$6,527","$87,270","$23,062",15.6%,7.5%,28.3%,Coca-Cola,2017
236,"$41,781","$2,377.6","$46,233","$29,735",5.7%,5.1%,8%,Denso,2017
237,"$41,620",$816.7,"$28,646","$7,910",2%,2.9%,10.3%,Fujitsu,2017
238,"$41,560",$551.9,"$30,267","$3,791",1.3%,1.8%,14.6%,Guangzhou Automobile Industry Group,2017
239,"$41,402",$972.2,"$37,032","$14,435",2.3%,2.6%,6.7%,Wilmar International,2017
240,"$41,376","$5,207.4","$110,390","$60,698",12.6%,4.7%,8.6%,Sanofi,2017
241,"$41,274",$23.2,"$88,626","$11,152",0.1%,-,0.2%,China United Network Communications,2017
242,"$40,921",$517.5,"$308,346","$8,491",1.3%,0.2%,6.1%,Sumitomo Life Insurance,2017
243,"$40,787","$1,088.1","$287,196","$20,108",2.7%,0.4%,5.4%,New York Life Insurance,2017
244,"$40,721",$562,"$20,197","$5,895",1.4%,2.8%,9.5%,Centene,2017
245,"$40,689","$7,992.8","$842,832","$52,946",19.6%,0.9%,15.1%,Shanghai Pudong Development Bank,2017
246,"$40,606",$423.7,"$128,247","$3,650",1%,0.3%,11.6%,Hanwha,2017
247,"$40,329","$1,111.6","$42,162","$8,942",2.8%,2.6%,12.4%,Tata Motors,2017
248,"$40,278",$-282.5,"$75,089","$2,669",-0.7%,-0.4%,-10.6%,Aluminum Corp. of China,2017
249,"$40,275","$2,825.3","$103,231","$33,500",7%,2.7%,8.4%,Mitsui,2017
250,"$40,238","$2,209.7","$537,461","$31,197",5.5%,0.4%,7.1%,Manulife Financial,2017
251,"$40,234","$7,201.6","$848,389","$49,297",17.9%,0.8%,14.6%,China Minsheng Banking,2017
252,"$40,193","$1,814.9","$146,873","$18,960",4.5%,1.2%,9.6%,China Pacific Insurance (Group),2017
253,"$40,180","$2,676","$51,274","$3,785",6.7%,5.2%,70.7%,American Airlines Group,2017
254,"$40,074",$334.3,"$197,790","$15,537",0.8%,0.2%,2.2%,Nationwide,2017
255,"$39,807","$3,920","$95,377","$40,088",9.8%,4.1%,9.8%,Merck,2017
256,"$39,668","$1,867","$59,360","$13,723",4.7%,3.1%,13.6%,Cigna,2017
257,"$39,639","$4,373","$51,261","$12,287",11%,8.5%,35.6%,Delta Air Lines,2017
258,"$39,403","$1,228","$13,856","$4,709",3.1%,8.9%,26.1%,Best Buy,2017
259,"$39,323",$74.5,"$81,224","$5,822",0.2%,0.1%,1.3%,China National Building Material Group,2017
260,"$39,302","$4,809","$54,146","$19,369",12.2%,8.9%,24.8%,Honeywell International,2017
261,"$39,155",$-573,"$23,077","$4,877",-1.5%,-2.5%,-11.7%,JD.com,2017
262,"$39,119","$1,942.6","$37,519","$18,307",5%,5.2%,10.6%,Mitsubishi Electric,2017
263,"$38,888",$949.9,"$30,719","$6,134",2.4%,3.1%,15.5%,ZF Friedrichshafen,2017
264,"$38,537",$-67,"$74,704","$13,137",-0.2%,-0.1%,-0.5%,Caterpillar,2017
265,"$38,308","$1,006","$125,592","$20,366",2.6%,0.8%,4.9%,Liberty Mutual Insurance Group,2017
266,"$38,286",$855.5,"$315,387","$10,339",2.2%,0.3%,8.3%,Power Corp. of Canada,2017
267,"$37,949","$5,979","$814,949","$76,050",15.8%,0.7%,7.9%,Morgan Stanley,2017
268,"$37,880",$821.7,"$14,838","$5,498",2.2%,5.5%,14.9%,Hengli Group,2017
269,"$37,813","$2,082.9","$29,899","$7,842",5.5%,7%,26.6%,SSE,2017
270,"$37,788","$1,273.5","$271,040","$15,424",3.4%,0.5%,8.3%,Massachusetts Mutual Life Insurance,2017
271,"$37,712","$7,398","$860,165","$86,893",19.6%,0.9%,8.5%,Goldman Sachs Group,2017
272,"$37,674",$-868,"$63,253","$24,118",-2.3%,-1.4%,-3.6%,Johnson Controls International,2017
273,"$37,642","$1,230.9","$72,985","$1,389",3.3%,1.7%,88.7%,GlaxoSmithKline,2017
274,"$37,543",$-85.9,"$144,306","$7,512",-0.2%,-0.1%,-1.1%,China Huaneng Group,2017
275,"$37,504",$995,"$79,011","$-1,694",2.7%,1.3%,-,Energy Transfer Equity,2017
276,"$37,322","$1,916.9","$140,911","$47,962",5.1%,1.4%,4%,Shenhua Group,2017
277,"$37,240","$1,085.2","$105,495","$8,333",2.9%,1%,13%,Greenland Holding Group,2017
278,"$37,105","$1,492.3","$523,194","$35,583",4%,0.3%,4.2%,TIAA,2017
