,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company,year
57,"$99,435",$983,"$110,319","$11,090",1%,0.9%,8.9%,China Railway Engineering,2016
58,"$97,314","$-8,450","$230,521","$65,236",-8.7%,-3.7%,-13%,Petrobras,2016
59,"$97,237","$1,236","$39,087","$5,601",1.3%,3.2%,22.1%,Trafigura Group,2016
60,"$96,134","$6,145","$187,186","$78,607",6.4%,3.3%,7.8%,Nippon Telegraph & Telephone,2016
61,"$96,114","$5,176","$94,408","$6,335",5.4%,5.5%,81.7%,Boeing,2016
62,"$95,652","$1,106","$108,671","$9,911",1.2%,1%,11.2%,China Railway Construction,2016
63,"$93,580","$12,193","$176,223","$80,083",13%,6.9%,15.2%,Microsoft,2016
64,"$93,056","$15,888","$2,144,316","$256,205",17.1%,0.7%,6.2%,Bank of America Corp.,2016
65,"$92,985","$-9,743","$146,411","$56,214",-10.5%,-6.7%,-17.3%,ENI,2016
66,"$92,285","$9,423","$123,905","$62,294",10.2%,7.6%,15.1%,Nestlé,2016
67,"$90,033","$22,894","$1,787,632","$192,998",25.4%,1.3%,11.9%,Wells Fargo,2016
68,"$89,061","$13,522","$2,409,656","$188,460",15.2%,0.6%,7.2%,HSBC Holdings,2016
69,"$88,519","$7,009","$42,549","$6,316",7.9%,16.5%,111%,Home Depot,2016
70,"$88,275","$17,242","$1,731,210","$221,857",19.5%,1%,7.8%,Citigroup,2016
71,"$87,660","$8,338","$134,320","$38,476",9.5%,6.2%,21.7%,Siemens,2016
72,"$87,633",$209,"$61,176","$12,020",0.2%,0.3%,1.7%,Tesco,2016
73,"$87,474","$1,087","$48,982","$10,463",1.2%,2.2%,10.4%,Carrefour,2016
74,"$87,169","$4,227","$48,580","$23,100",4.8%,8.7%,18.3%,Phillips 66,2016
75,"$84,885","$6,618","$1,455,790","$111,229",7.8%,0.5%,5.9%,Banco Santander,2016
76,"$84,677","$4,765","$68,884","$44,213",5.6%,6.9%,10.8%,Lukoil,2016
77,"$84,099","$3,900","$1,661,119","$58,452",4.6%,0.2%,6.7%,Crédit Agricole,2016
78,"$83,926","$2,436","$175,073","$35,167",2.9%,1.4%,6.9%,Enel,2016
79,"$83,584","$1,434","$111,684","$24,338",1.7%,1.3%,5.9%,Hitachi,2016
80,"$83,202","$1,317","$302,986","$37,744",1.6%,0.4%,3.5%,Électricité de France,2016
81,"$82,817","$1,480","$56,688","$11,002",1.8%,2.6%,13.5%,Dongfeng Motor Group,2016
82,"$82,461","$13,190","$110,495","$14,262",16%,11.9%,92.5%,IBM,2016
83,"$81,824","$3,990","$44,343","$20,527",4.9%,9%,19.4%,Valero Energy,2016
84,"$81,320","$5,675","$141,063","$52,908",7%,4%,10.7%,Hyundai Motor,2016
85,"$79,157","$2,560","$61,718","$23,044",3.2%,4.1%,11.1%,Anthem,2016
86,"$78,756","$7,036","$129,495","$62,419",8.9%,5.4%,11.3%,Procter & Gamble,2016
87,"$78,323","$3,542","$83,926","$35,678",4.5%,4.2%,9.9%,Robert Bosch,2016
88,"$78,147","$4,423","$76,942","$33,581",5.7%,5.7%,13.2%,BASF,2016
89,"$77,520","$-5,122","$174,507","$46,791",-6.6%,-2.9%,-10.9%,Engie,2016
90,"$76,793","$3,610","$156,326","$31,934",4.7%,2.3%,11.3%,Deutsche Telekom,2016
91,"$76,574","$2,489","$153,154","$23,812",3.3%,1.6%,10.5%,China Resources National,2016
92,"$76,469","$3,950","$184,261","$23,257",5.2%,2.1%,17%,SoftBank Group,2016
93,"$75,697","$6,229","$241,183","$82,660",8.2%,2.6%,7.5%,State Farm Insurance Cos.,2016
94,"$74,989","$16,348","$147,461","$120,331",21.8%,11.1%,13.6%,Alphabet,2016
95,"$74,697","$2,223","$98,560","$37,283",3%,2.3%,6%,China Southern Power Grid,2016
96,"$74,510","$8,163","$166,574","$52,269",11%,4.9%,15.6%,Comcast,2016
97,"$73,785","$3,363","$40,262","$12,957",4.6%,8.4%,26%,Target,2016
98,"$73,514","$-44,904","$102,830","$-77,133",-61.1%,-43.7%,-,Pemex,2016
99,"$73,047","$3,205","$42,798","$17,936",4.4%,7.5%,17.9%,Pacific Construction Group,2016
100,"$71,493","$2,991","$115,877","$6,480",4.2%,2.6%,46.1%,Airbus Group,2016
101,"$71,266",$769,"$30,867","$5,780",1.1%,2.5%,13.3%,Metro,2016
102,"$70,081","$1,488","$60,348","$7,857",2.1%,2.5%,18.9%,China South Industries Group,2016
103,"$70,074","$15,409","$133,411","$71,150",22%,11.6%,21.7%,Johnson & Johnson,2016
104,"$69,951","$5,310","$877,933","$67,949",7.6%,0.6%,7.8%,MetLife,2016
105,"$69,637","$4,194","$1,157,379","$43,032",6%,0.4%,9.7%,China Post Group,2016
106,"$69,433","$3,447","$300,356","$33,312",5%,1.1%,10.3%,Munich Re Group,2016
107,"$68,928","$-5,060","$24,014","$-50,391",-7.3%,-21.1%,-,U.S. Postal Service,2016
108,"$68,358","$1,708","$41,134","$11,985",2.5%,4.2%,14.3%,Deutsche Post,2016
109,"$67,799","$4,608","$179,004","$74,168",6.8%,2.6%,6.2%,China National Offshore Oil,2016
110,"$67,764","$1,709","$140,783","$14,589",2.5%,1.2%,11.7%,China Communications Construction,2016
111,"$67,758",$50,"$72,886","$9,593",0.1%,0.1%,0.5%,AEON,2016
112,"$67,702","$1,849","$40,157","$17,899",2.7%,4.6%,10.3%,Archer Daniels Midland,2016
113,"$67,519","$1,231","$148,366","$21,920",1.8%,0.8%,5.6%,Sony,2016
114,"$67,118","$3,361","$628,296","$17,187",5%,0.5%,19.6%,Nippon Life Insurance,2016
115,"$67,071","$4,221","$351,167","$20,874",6.3%,1.2%,20.2%,Banco do Brasil,2016
116,"$66,712","$-1,672","$17,074","$3,314",-2.5%,-9.8%,-50.5%,Noble Group,2016
117,"$66,206","$5,464","$910,078","$48,849",8.3%,0.6%,11.2%,ING Group,2016
118,"$64,749","$5,810","$132,236","$39,597",9%,4.4%,14.7%,Rosneft Oil,2016
119,"$64,606","$3,110","$129,892","$17,879",4.8%,2.4%,17.4%,People’s Insurance Co. of China,2016
120,"$64,566","$2,852","$43,115","$13,237",4.4%,6.6%,21.5%,Marathon Petroleum,2016
121,"$64,516",$266,"$70,682","$10,840",0.4%,0.4%,2.4%,COFCO,2016
122,"$64,232",$160,"$35,187","$3,651",0.2%,0.5%,4.4%,Tewoo Group,2016
123,"$63,578","$-7,946","$76,846","$25,272",-12.5%,-10.3%,-31.4%,ArcelorMittal,2016
124,"$63,491","$6,376","$1,986,050","$2,940",10%,0.3%,216.9%,Freddie Mac,2016
125,"$63,466","$3,372","$137,974","$87,384",5.3%,2.4%,3.9%,Petronas,2016
126,"$63,106","$3,940","$570,300","$19,092",6.2%,0.7%,20.6%,Prudential,2016
127,"$63,056","$5,452","$69,667","$11,923",8.6%,7.8%,45.7%,PepsiCo,2016
128,"$62,921","$1,610","$49,804","$15,172",2.6%,3.2%,10.6%,Panasonic,2016
129,"$62,855","$5,873","$57,311","$18,329",9.3%,10.2%,32%,Huawei Investment & Holding,2016
130,"$62,852","$3,253","$51,325","$24,651",5.2%,6.3%,13.2%,China FAW Group,2016
131,"$62,511","$-2,320","$59,838","$11,636",-3.7%,-3.9%,-19.9%,JX Holdings,2016
132,"$61,796","$1,716","$118,994","$57,902",2.8%,1.4%,3%,China Telecommunications,2016
133,"$61,690","$-6,059","$192,159","$94,683",-9.8%,-3.2%,-6.4%,Vodafone Group,2016
134,"$61,621",$803,"$51,870","$12,598",1.3%,1.5%,6.4%,China North Industries Group,2016
135,"$61,090","$1,487","$444,251","$10,049",2.4%,0.3%,14.8%,Dai-ichi Life Insurance,2016
136,"$61,047","$7,608","$87,484","$27,358",12.5%,8.7%,27.8%,United Technologies,2016
137,"$60,917","$3,045","$133,574","$19,433",5%,2.3%,15.7%,Telefónica,2016
138,"$60,810",$519,"$63,336","$11,720",0.9%,0.8%,4.4%,Marubeni,2016
139,"$60,656",$-55,"$54,614","$9,581",-0.1%,-0.1%,-0.6%,Sinochem Group,2016
140,"$60,651",$997,"$53,343","$11,465",1.6%,1.9%,8.7%,Peugeot,2016
141,"$60,568","$1,842","$381,972","$31,178",3%,0.5%,5.9%,Zurich Insurance Group,2016
142,"$60,337","$2,390","$53,424","$16,114",4%,4.5%,14.8%,Aetna,2016
143,"$60,252",$883,"$143,814","$27,513",1.5%,0.6%,3.2%,Aviation Industry Corp. of China,2016
144,"$60,158",$575,"$38,696","$10,535",1%,1.5%,5.5%,Auchan Holding,2016
145,"$59,895","$-4,652","$109,282","$40,098",-7.8%,-4.3%,-11.6%,Statoil,2016
146,"$59,196",$582,"$60,439","$19,381",1%,1%,3%,PTT,2016
147,"$59,093","$5,445","$56,806","$16,770",9.2%,9.6%,32.5%,Unilever,2016
148,"$59,074","$2,546","$31,266","$7,654",4.3%,8.1%,33.3%,Lowe’s,2016
149,"$58,363","$4,844","$38,311","$2,470",8.3%,12.6%,196.1%,UPS,2016
150,"$58,327","$2,196","$496,943","$89,658",3.8%,0.4%,2.4%,AIG,2016
151,"$57,689","$-1,244","$132,731","$40,866",-2.2%,-0.9%,-3%,Mitsubishi,2016
152,"$57,119","$5,642","$757,388","$41,890",9.9%,0.7%,13.5%,Prudential Financial,2016
153,"$57,068","$10,586","$1,101,910","$82,371",18.6%,1%,12.9%,Bank of Communications,2016
154,"$56,361","$2,209","$75,081","$6,502",3.9%,2.9%,34%,América Móvil,2016
155,"$56,209","$3,596","$1,267,090","$62,600",6.4%,0.3%,5.7%,Groupe BPCE,2016
156,"$55,938","$3,764","$884,429","$41,355",6.7%,0.4%,9.1%,CITIC Group,2016
157,"$55,733",$211,"$18,592","$4,849",0.4%,1.1%,4.4%,Louis Dreyfus,2016
158,"$55,355","$11,420","$103,065","$61,085",20.6%,11.1%,18.7%,Intel,2016
159,"$55,082","$7,721","$322,735","$28,382",14%,2.4%,27.2%,Itaú Unibanco Holding,2016
160,"$54,933","$1,098","$45,852","$7,013",2%,2.4%,15.6%,Beijing Automotive Group,2016
161,"$54,711","$1,714","$36,550","$11,476",3.1%,4.7%,14.9%,Indian Oil,2016
162,"$54,289","$1,276","$24,705","$10,346",2.4%,5.2%,12.3%,Humana,2016
163,"$53,026","$1,121","$27,049","$9,458",2.1%,4.1%,11.9%,Shandong Weiqiao Pioneering Group,2016
164,"$52,465","$8,382","$88,182","$44,525",16%,9.5%,18.8%,Disney,2016
165,"$52,437","$4,559","$80,289","$26,357",8.7%,5.7%,17.3%,Bayer,2016
166,"$52,422","$-7,536","$1,769,561","$68,081",-14.4%,-0.4%,-11.1%,Deutsche Bank,2016
167,"$52,390","$9,212","$75,710","$20,964",17.6%,12.2%,43.9%,Roche Group,2016
168,"$52,267","$1,910","$124,580","$64,768",3.7%,1.5%,2.9%,BHP Billiton,2016
169,"$52,032","$-3,832","$48,348","$2,926",-7.4%,-7.9%,-130.9%,Toshiba,2016
170,"$51,960",$-80,"$45,340",$-32,-0.2%,-0.2%,-,Finatis,2016
171,"$51,931","$2,029","$31,045","$19,042",3.9%,6.5%,10.7%,Wesfarmers,2016
172,"$51,805","$11,752","$149,499","$56,841",22.7%,7.9%,20.7%,Korea Electric Power,2016
173,"$51,752",$152,"$68,880","$35,149",0.3%,0.2%,0.4%,POSCO,2016
174,"$51,617",$-80,"$86,173","$7,383",-0.2%,-0.1%,-1.1%,RWE,2016
175,"$51,030","$17,783","$131,556","$77,046",34.8%,13.5%,23.1%,Novartis,2016
176,"$50,618","$1,785","$19,469","$8,325",3.5%,9.2%,21.4%,Woolworths,2016
177,"$50,561","$1,173","$121,550","$19,545",2.3%,1%,6%,Tokyo Electric Power,2016
178,"$50,280","$3,132","$98,415","$30,405",6.2%,3.2%,10.3%,Renault,2016
179,"$50,099","$1,334","$48,216","$20,287",2.7%,2.8%,6.6%,Seven & I Holdings,2016
180,"$49,996",$110,"$30,977","$9,918",0.2%,0.4%,1.1%,LG Electronics,2016
181,"$49,490",$-75,"$1,650,561","$88,142",-0.2%,-,-0.1%,Barclays,2016
182,"$49,305","$1,254","$427,672","$18,588",2.5%,0.3%,6.7%,CNP Assurances,2016
183,"$49,161","$8,981","$113,481","$59,698",18.3%,7.9%,15%,Cisco Systems,2016
184,"$48,981",$354,"$39,838","$3,551",0.7%,0.9%,10%,ThyssenKrupp,2016
185,"$48,870","$1,392","$30,785","$7,006",2.8%,4.5%,19.9%,JBS,2016
186,"$48,851","$6,960","$167,460","$64,720",14.2%,4.2%,10.8%,Pfizer,2016
187,"$48,778","$7,685","$68,026","$25,374",15.8%,11.3%,30.3%,Dow Chemical,2016
188,"$48,681",$687,"$17,989","$5,260",1.4%,3.8%,13.1%,Sysco,2016
189,"$48,459","$9,181","$843,135","$55,563",18.9%,1.1%,16.5%,China Merchants Bank,2016
190,"$47,795","$1,141","$18,559","$9,471",2.4%,6.1%,12%,Amer International Group,2016
191,"$47,600","$7,925","$2,654,413","$105,498",16.6%,0.3%,7.5%,Mitsubishi UFJ Financial Group,2016
192,"$47,453","$1,050","$37,069","$14,993",2.2%,2.8%,7%,FedEx,2016
193,"$47,192","$1,314","$1,188,816","$68,658",2.8%,0.1%,1.9%,Lloyds Banking Group,2016
194,"$47,011","$2,102","$78,497","$14,809",4.5%,2.7%,14.2%,Caterpillar,2016
195,"$46,446","$7,989","$816,016","$48,301",17.2%,1%,16.5%,Industrial Bank,2016
196,"$46,169","$1,437","$48,723","$20,590",3.1%,2.9%,7%,Saint-Gobain,2016
197,"$46,132","$3,605","$49,128","$3,097",7.8%,7.3%,116.4%,Lockheed Martin,2016
198,"$45,891",$257,"$271,668","$19,496",0.6%,0.1%,1.3%,New York Life Insurance,2016
199,"$45,608","$3,655","$375,039","$32,555",8%,1%,11.2%,Sberbank,2016
200,"$45,607","$1,170","$77,400","$9,272",2.6%,1.5%,12.6%,PowerChina,2016
201,"$45,266",$-204,"$53,712","$7,489",-0.4%,-0.4%,-2.7%,HeSteel Group,2016
202,"$44,912",$-128,"$24,933","$3,000",-0.3%,-0.5%,-4.3%,Lenovo Group,2016
203,"$44,818","$-1,470","$60,891","$14,402",-3.3%,-2.4%,-10.2%,Deutsche Bahn,2016
204,"$44,651","$2,942","$99,311","$33,571",6.6%,3%,8.8%,Orange,2016
205,"$44,325",$443,"$35,156","$5,762",1%,1.3%,7.7%,Sinopharm,2016
206,"$44,294","$7,351","$90,093","$25,554",16.6%,8.2%,28.8%,Coca-Cola,2016
207,"$44,085",$552,"$94,758","$12,117",1.3%,0.6%,4.6%,China United Network Communications,2016
208,"$43,792","$2,326","$39,222","$20,647",5.3%,5.9%,11.3%,Kia Motors,2016
209,"$43,740","$5,439","$259,596","$22,956",12.4%,2.1%,23.7%,Banco Bradesco,2016
210,"$43,618","$2,270","$67,504","$16,422",5.2%,3.4%,13.8%,Vinci,2016
211,"$43,604","$8,273","$134,635","$42,137",19%,6.1%,19.6%,Anheuser-Busch InBev,2016
212,"$43,591","$2,129","$32,744","$-7,599",4.9%,6.5%,-,HCA Holdings,2016
213,"$43,519","$3,025","$35,666","$13,889",7%,8.5%,21.8%,Continental,2016
214,"$43,455",$791,"$17,922","$6,441",1.8%,4.4%,12.3%,Bunge,2016
215,"$43,437","$4,221","$91,549","$36,796",9.7%,4.6%,11.5%,Reliance Industries,2016
216,"$43,334",$694,"$31,885","$7,465",1.6%,2.2%,9.3%,SSE,2016
217,"$43,224",$775,"$149,670","$7,718",1.8%,0.5%,10%,China Huaneng Group,2016
218,"$43,026",$215,"$12,307","$3,968",0.5%,1.7%,5.4%,Ingram Micro,2016
219,"$42,968","$2,931","$814,735","$51,366",6.8%,0.4%,5.7%,Banco Bilbao Vizcaya Argentaria,2016
220,"$42,734","$-1,141","$27,794","$1,736",-2.7%,-4.1%,-65.7%,Centrica,2016
221,"$42,449","$7,337","$696,176","$46,387",17.3%,1.1%,15.8%,China Minsheng Banking,2016
222,"$42,378",$945,"$17,249","$6,107",2.2%,5.5%,15.5%,Royal Ahold,2016
223,"$42,345","$2,002","$71,511","$19,520",4.7%,2.8%,10.3%,Itochu,2016
224,"$42,239","$3,038","$734,810","$51,894",7.2%,0.4%,5.9%,Intesa Sanpaolo,2016
225,"$42,126","$1,189","$71,189",$-932,2.8%,1.7%,-,Energy Transfer Equity,2016
226,"$42,092","$1,684","$40,669","$12,200",4%,4.1%,13.8%,Tata Motors,2016
227,"$42,030","$8,052","$776,819","$48,536",19.2%,1%,16.6%,Shanghai Pudong Development Bank,2016
228,"$41,901","$2,840","$66,879","$11,445",6.8%,4.2%,24.8%,Christian Dior,2016
229,"$41,845",$603,"$14,201","$3,466",1.4%,4.2%,17.4%,CEFC China Energy,2016
230,"$41,763","$1,420","$45,519","$19,282",3.4%,3.1%,7.4%,Pertamina,2016
231,"$41,758","$1,512","$180,670","$11,738",3.6%,0.8%,12.9%,MS&AD Insurance Group Holdings,2016
232,"$41,681","$1,867","$448,658","$27,273",4.5%,0.4%,6.8%,State Bank of India,2016
233,"$41,460","$4,756","$111,141","$63,053",11.5%,4.3%,7.5%,Sanofi,2016
234,"$41,412",$-132,"$57,366","$4,032",-0.3%,-0.2%,-3.3%,ChemChina,2016
235,"$41,373","$1,220","$23,004","$9,691",2.9%,5.3%,12.6%,Tyson Foods,2016
236,"$40,990","$7,610","$48,415","$5,635",18.6%,15.7%,135%,American Airlines Group,2016
237,"$40,883","$-1,194","$42,423","$11,717",-2.9%,-2.8%,-10.2%,Hyundai Heavy Industries,2016
238,"$40,878","$1,211","$57,173","$22,713",3%,2.1%,5.3%,Nippon Steel & Sumitomo Metal,2016
239,"$40,704","$4,526","$53,134","$10,850",11.1%,8.5%,41.7%,Delta Air Lines,2016
240,"$40,308",$791,"$62,408","$35,087",2%,1.3%,2.3%,Maersk Group,2016
241,"$40,222",$581,"$185,306","$15,095",1.4%,0.3%,3.8%,Nationwide,2016
242,"$40,204","$1,563","$29,673","$10,376",3.9%,5.3%,15.1%,Johnson Controls,2016
243,"$39,751","$5,387","$1,660,312","$66,331",13.6%,0.3%,8.1%,Sumitomo Mitsui Financial Group,2016
244,"$39,745",$897,"$13,519","$4,378",2.3%,6.6%,20.5%,Best Buy,2016
245,"$39,647",$-695,"$97,086","$30,074",-1.8%,-0.7%,-2.3%,Mitsui,2016
246,"$39,498","$4,442","$101,779","$44,676",11.2%,4.4%,9.9%,Merck,2016
247,"$39,481","$5,004","$87,446","$43,141",12.7%,5.7%,11.6%,SABIC,2016
248,"$39,477",$723,"$28,709","$6,966",1.8%,2.5%,10.4%,Fujitsu,2016
249,"$39,450",$514,"$121,707","$19,143",1.3%,0.4%,2.7%,Liberty Mutual Insurance Group,2016
250,"$39,419","$-1,361","$68,514","$30,914",-3.5%,-2%,-4.4%,Repsol,2016
251,"$39,336","$2,821","$142,270","$20,533",7.2%,2%,13.7%,China Pacific Insurance (Group),2016
252,"$39,208","$6,083","$861,395","$86,728",15.5%,0.7%,7%,Goldman Sachs Group,2016
253,"$39,062",$789,"$453,135","$29,858",2%,0.2%,2.6%,Aegon,2016
254,"$38,777","$1,056","$37,939","$15,127",2.7%,2.8%,7%,Wilmar International,2016
255,"$38,741",$805,"$38,321","$3,716",2.1%,2.1%,21.7%,ACS,2016
256,"$38,581","$4,768","$49,316","$18,283",12.4%,9.7%,26.1%,Honeywell International,2016
257,"$38,511","$6,448","$942,160","$55,274",16.7%,0.7%,11.7%,UBS Group,2016
258,"$38,243","$1,425","$266,550","$14,983",3.7%,0.5%,9.5%,Massachusetts Mutual Life Insurance,2016
259,"$38,239",$750,"$14,497","$4,579",2%,5.2%,16.4%,Pegatron,2016
260,"$38,226","$9,938","$110,903","$48,663",26%,9%,20.4%,Oracle,2016
261,"$38,143","$2,120","$194,477","$14,863",5.6%,1.1%,14.3%,Tokio Marine Holdings,2016
262,"$37,996",$-851,"$74,973","$2,017",-2.2%,-1.1%,-42.2%,Aluminum Corp. of China,2016
263,"$37,897","$6,127","$787,465","$75,182",16.2%,0.8%,8.1%,Morgan Stanley,2016
264,"$37,876","$2,094","$57,088","$12,035",5.5%,3.7%,17.4%,Cigna,2016
265,"$37,864","$7,340","$40,861","$8,966",19.4%,18%,81.9%,United Continental Holdings,2016
266,"$37,837","$1,881","$48,000","$14,922",5%,3.9%,12.6%,CRRC,2016
267,"$37,817",$-228,"$31,673","$2,271",-0.6%,-0.7%,-10%,Jizhong Energy Group,2016
268,"$37,688","$2,035","$44,874","$27,795",5.4%,4.5%,7.3%,Denso,2016
269,"$37,680","$7,537","$671,156","$40,288",20%,1.1%,18.7%,Commonwealth Bank of Australia,2016
270,"$37,612","$1,391","$143,436","$49,306",3.7%,1%,2.8%,Shenhua Group,2016
271,"$37,202","$4,119","$51,675","$29,438",11.1%,8%,14%,KDDI,2016
272,"$37,061","$1,786","$44,394","$9,944",4.8%,4%,18%,Volvo,2016
273,"$37,007","$1,797","$66,955","$19,948",4.9%,2.7%,9%,Jardine Matheson,2016
274,"$36,683",$412,"$27,217","$5,543",1.1%,1.5%,7.4%,George Weston,2016
275,"$36,608",$399,"$81,516","$36,629",1.1%,0.5%,1.1%,Baosteel Group,2016
276,"$36,604","$1,903","$36,127","$16,362",5.2%,5.3%,11.6%,Mitsubishi Electric,2016
277,"$36,590",$-252,"$124,219","$3,544",-0.7%,-0.2%,-7.1%,Hanwha,2016
278,"$36,550","$12,867","$78,763","$7,537",35.2%,16.3%,170.7%,GlaxoSmithKline,2016
279,"$36,252","$1,403","$571,610","$23,526",3.9%,0.2%,6%,Aviva,2016
280,"$36,074",$447,"$36,752","$8,543",1.2%,1.2%,5.2%,Bouygues,2016
281,"$36,012","$1,308","$68,229","$18,319",3.6%,1.9%,7.1%,China Shipbuilding Industry,2016
282,"$35,714","$4,597","$196,135","$33,517",12.9%,2.3%,13.7%,Swiss Re,2016
283,"$35,653","$2,171","$104,656","$20,025",6.1%,2.1%,10.8%,Allstate,2016
284,"$35,623","$1,783","$348,499","$11,003",5%,0.5%,16.2%,Meiji Yasuda Life Insurance,2016
285,"$35,559","$1,884","$35,260","$6,265",5.3%,5.3%,30.1%,Lufthansa Group,2016
